row_label_raw,row_label_full,col_0,End of year VND,numeric__End of year VND
"Non-convertible corporate bonds, with secured current assets, with third party's guarantee and issued in the form of book entries (a)","Non-convertible corporate bonds, with secured current assets, with third party's guarantee and issued in the form of book entries (a)","Non-convertible corporate bonds, with secured current assets, with third party's guarantee and issued in the form of book entries (a)","165,000,000,000",
"Non-convertible corporate bonds, without warrants and with secured assets (b)","Non-convertible corporate bonds, without warrants and with secured assets (b)","Non-convertible corporate bonds, without warrants and with secured assets (b)","200,000,000,000",
"Non-convertible corporate bonds, without warrants and with secured assets (c)","Non-convertible corporate bonds, without warrants and with secured assets (c)","Non-convertible corporate bonds, without warrants and with secured assets (c)","300,000,000,000",
Bond issuance fee,Bond issuance fee,Bond issuance fee,"(6,513,631,186)",
,,,"658,486,368,814",
Current portion,Current portion,Current portion,"(60,000,000,000)",
,,,"598,486,368,814",
