row_label_raw,row_label_full,col_0,End of period VND,Purpose,Maturity,Interest,Collaterals,numeric__End of period VND,numeric__Purpose,numeric__Maturity,numeric__Interest,numeric__Collaterals
Joint Stock Commercial Bank for Foreign Trade of Vietnam (“Vietcombank”) – Gia Lai Branch,Joint Stock Commercial Bank for Foreign Trade of Vietnam (“Vietcombank”) – Gia Lai Branch,Joint Stock Commercial Bank for Foreign Trade of Vietnam (“Vietcombank”) – Gia Lai Branch,"10,000,000","Finance legal, reasonable, and valid short-term credit needs for production.",The maturity period is 6 months from the following day of the disbursement date according to each debt receipt.,The interest rate is determined on the disbursement date according to the notice of interest rate from Vietcombank.,"All machinery and equipment, assets attached to land already formed and to be formed in the future and arising property rights of VPL Ben Tre Wind Power Plant phase 1, Krong Pa solar power plant, Ayun Thuong 1A hydropower plant, Ham Phu 2 solar power plant, la Bang wind power plant (Note 11(a)), shares of the Group in VPL Energy Joint Stock Company.",,,,,
Joint stock Commercial Bank for Investment and Development of Viet Nam (“BIDV”),Joint stock Commercial Bank for Investment and Development of Viet Nam (“BIDV”),Joint stock Commercial Bank for Investment and Development of Viet Nam (“BIDV”),"38,109,574,140",Finance working capital needs.,From 15 January 2025 to 13 May 2025.,The interest rate is determined on the disbursement date according to the notice of interest rate from BIDV.,"All properties attached at land number 257, 258, Map No. 01 Dien Loc, Phong Dien, Thua Thien Hue and machinery, equipment (Note 11(a)).",,,,,
Vietcombank – Gia Lai Branch,Vietcombank – Gia Lai Branch,Vietcombank – Gia Lai Branch,"100,000,000",Finance working capital for power generation.,The maturity period is 6 months from the following day of the disbursement date according to each debt receipt.,The interest rate is determined on the disbursement date according to the notice of interest rate from Vietcombank.,"Ownership of all construction works on leased land at 114 Truong Chinh, Pleiku City, Gia Lai and ownership of all construction works and machinery and equipment of the Upper 1A Ayun Hydroelectric Power Plant (Note 11(a)).",,,,,
