row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày > Năm nay,Năm tài chính kết thúc ngày > Năm trước (**),numeric__Năm tài chính kết thúc ngày > Năm nay,numeric__Năm tài chính kết thúc ngày > Năm trước (**)
Lợi nhuận thuần phân bổ cho các cổ đông (VND),Lợi nhuận thuần phân bổ cho các cổ đông (VND),Lợi nhuận thuần phân bổ cho các cổ đông (VND),114.823.028.545,137.243.674.272,114823028545.0,137243674272.0
Cổ tức cho cổ phần ưu đãi,Cổ tức cho cổ phần ưu đãi,Cổ tức cho cổ phần ưu đãi,(40.076.208.000),(39.290.400.000),-40076208000.0,-39290400000.0
"Điều chỉnh giảm số trích quỹ khen thưởng,phúc lợi (VND) (*)","Điều chỉnh giảm số trích quỹ khen thưởng,phúc lợi (VND) (*)","Điều chỉnh giảm số trích quỹ khen thưởng,phúc lợi (VND) (*)",(12.381.585.926),(27.501.997.095),-12381585926.0,-27501997095.0
,,,62.365.234.619,70.451.277.177,62365234619.0,70451277177.0
Bình quân số cổ phiếu phổ thông đanglưu hành (cổ phiếu) (**),Bình quân số cổ phiếu phổ thông đanglưu hành (cổ phiếu) (**),Bình quân số cổ phiếu phổ thông đanglưu hành (cổ phiếu) (**),358.308.371,358.308.371,358308371.0,358308371.0
Lãi cơ bản trên mỗi cổ phiếu (VND),Lãi cơ bản trên mỗi cổ phiếu (VND),Lãi cơ bản trên mỗi cổ phiếu (VND),174,197,174.0,197.0
