row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,numeric__Nội dung nghiệp vụ,numeric__Năm nay VND,numeric__Năm trước VND
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Mua hàng hóa và dịch vụ,23.765.073.358,48.903.903.445,,23765073358.0,48903903445.0
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ tức,5.230.500,10.461.000,,5230500.0,10461000.0
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Nhận góp vốn,-,44.750.000,,,44750000.0
Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,Doanh thu cung cấp dịch vụ,2.107.581.600,1.475.547.200,,2107581600.0,1475547200.0
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Lãi cho vay,16.164.530.139,13.625.663.688,,16164530139.0,13625663688.0
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Doanh thu bán hàng hóa và dịch vụ,720.991.444,271.138.036,,720991444.0,271138036.0
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Chi hộ,40.025.304,-,,40025304.0,
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Phân loại lại phải thu khác thành cho vay,-,6.400.000.000,,,6400000000.0
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Cho vay,-,57.400.000.000,,,57400000000.0
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Thu hồi khoản cho vay,-,61.900.000.000,,,61900000000.0
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Lãi cho vay nhập gốc,-,9.672.623.730,,,9672623730.0
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Thu hồi khoản cho vay,10.000.000.000,12.000.000.000,,10000000000.0,12000000000.0
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Lãi cho vay,5.547.019.175,7.203.369.863,,5547019175.0,7203369863.0
