row_label_raw,row_label_full,col_0,End of year,End of year_1,End of year_2,Beginning of year,Beginning of year_1,Beginning of year_2,numeric__End of year,numeric__End of year_1,numeric__End of year_2,numeric__Beginning of year,numeric__Beginning of year_1,numeric__Beginning of year_2
,,,Cost VND,Fair value VND,Provision VND,Cost VND,Fair value VND,Provision VND,,,,,,
Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,"121,026,987,133",(*),-,"117,551,016,658",(*),-,,,,,,
Solwind Energy Joint Stock Company,Solwind Energy Joint Stock Company,Solwind Energy Joint Stock Company,"52,490,474,490",(*),-,"50,599,326,966",-,-,,,,,,
,,,"173,517,461,623",,-,"168,150,343,624",,-,,,,,,
