row_label_raw,row_label_full,col_0,Hoạt động sản xuất và bán điện VND,Hoạt động xây lắp VND,Hoạt động cung cấp dịch vụ VND,Hoạt động bán hàng hóa VND,Tổng cộng VND,numeric__Hoạt động sản xuất và bán điện VND,numeric__Hoạt động xây lắp VND,numeric__Hoạt động cung cấp dịch vụ VND,numeric__Hoạt động bán hàng hóa VND,numeric__Tổng cộng VND
Tài sản và công nợ tại ngày 31.12.2024,Tài sản và công nợ tại ngày 31.12.2024,Tài sản và công nợ tại ngày 31.12.2024,Tài sản và công nợ tại ngày 31.12.2024,Tài sản và công nợ tại ngày 31.12.2024,Tài sản và công nợ tại ngày 31.12.2024,Tài sản và công nợ tại ngày 31.12.2024,Tài sản và công nợ tại ngày 31.12.2024,,,,,
Tài sản bộ phận,Tài sản và công nợ tại ngày 31.12.2024 > Tài sản bộ phận,Tài sản bộ phận,14.178.864.443.827,56.541.439.899,124.746.198.333,90.439.838.576,14.450.591.920.635,14178864443827.0,56541439899.0,124746198333.0,90439838576.0,14450591920635.0
Tài sản không phân bổ,Tài sản và công nợ tại ngày 31.12.2024 > Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,-,722.964.419.801,,,,,722964419801.0
Tổng tài sản,Tài sản và công nợ tại ngày 31.12.2024 > Tổng tài sản,Tổng tài sản,,,,,15.173.556.340.436,,,,,15173556340436.0
Công nợ bộ phận,Tài sản và công nợ tại ngày 31.12.2024 > Công nợ bộ phận,Công nợ bộ phận,9.185.167.318.371,29.729.469.012,122.055.152.951,71.744.919.506,9.408.696.859.840,9185167318371.0,29729469012.0,122055152951.0,71744919506.0,9408696859840.0
Công nợ không phân bổ,Tài sản và công nợ tại ngày 31.12.2024 > Công nợ không phân bổ,Công nợ không phân bổ,-,-,-,-,370.458.118,,,,,370458118.0
Tổng công nợ,Tài sản và công nợ tại ngày 31.12.2024 > Tổng công nợ,Tổng công nợ,,,,,9.409.067.317.958,,,,,9409067317958.0
