row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thăng dư vốn cổ phần VND,Quỹ đầu tư và phát triển VND,LNST chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thăng dư vốn cổ phần VND,numeric__Quỹ đầu tư và phát triển VND,numeric__LNST chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Tai ngày 1 tháng 1 năm 2023,Tai ngày 1 tháng 1 năm 2023,Tai ngày 1 tháng 1 năm 2023,3.861.369.020.000,25.866.057.484,98.024.005.628,292.430.636.129,1.352.045.552.715,5.629.735.271.956,3861369020000.0,25866057484.0,98024005628.0,292430636129.0,1352045552715.0,5629735271956.0
Vốn tăng trong năm,Vốn tăng trong năm,Vốn tăng trong năm,-,-,-,-,113.883.080.000,113.883.080.000,,,,,113883080000.0,113883080000.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,193.124.990.000,-,-,(193.124.990.000),-,-,193124990000.0,,,-193124990000.0,,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,137.243.674.272,6.080.272.840,143.323.947.112,,,,137243674272.0,6080272840.0,143323947112.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(24.877.054.641),(5.434.173.283),(30.311.227.924),,,,-24877054641.0,-5434173283.0,-30311227924.0
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,(39.290.400.000),(44.787.168.400),(84.077.568.400),,,,-39290400000.0,-44787168400.0,-84077568400.0
Chi phí phát hành cổ phiếu,Chi phí phát hành cổ phiếu,Chi phí phát hành cổ phiếu,-,(5.166.000.000),-,-,-,(5.166.000.000),,-5166000000.0,,,,-5166000000.0
Thay đổi tỷ lệ sở hữu trong công ty con,Thay đổi tỷ lệ sở hữu trong công ty con,Thay đổi tỷ lệ sở hữu trong công ty con,-,-,-,4.584.677.746,(4.584.677.746),-,,,,4584677746.0,-4584677746.0,
Hoàn nhập Quỹ đầu tư phát triển,Hoàn nhập Quỹ đầu tư phát triển,Hoàn nhập Quỹ đầu tư phát triển,-,-,(1.288.151.865),1.288.151.865,-,-,,,-1288151865.0,1288151865.0,,
Khác,Khác,Khác,-,-,(381.767.940),253.538.317,63.118.861,(65.110.762),,,-381767940.0,253538317.0,63118861.0,-65110762.0
Tai ngày 31 tháng 12 năm 2023,Tai ngày 31 tháng 12 năm 2023,Tai ngày 31 tháng 12 năm 2023,4.054.494.010.000,20.700.057.484,96.354.085.823,178.508.233.688,1.417.266.004.987,5.767.322.391.982,4054494010000.0,20700057484.0,96354085823.0,178508233688.0,1417266004987.0,5767322391982.0
Vốn tăng trong năm,Vốn tăng trong năm,Vốn tăng trong năm,-,-,-,-,200.000.000,200.000.000,,,,,200000000.0,200000000.0
Chia cổ tức bằng cổ phiếu (*),Chia cổ tức bằng cổ phiếu (*),Chia cổ tức bằng cổ phiếu (*),170.589.700.000,-,-,(170.589.700.000),-,-,170589700000.0,,,-170589700000.0,,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,114.823.028.545,(22.749.638.463),92.073.390.082,,,,114823028545.0,-22749638463.0,92073390082.0
"Trích quỹ khen thưởng, phúc lợi (**) (Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi (**) (Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi (**) (Thuyết minh 19)",-,-,-,(15.006.528.380),(4.818.393.061),(19.824.921.441),,,,-15006528380.0,-4818393061.0,-19824921441.0
Chia cổ tức bằng tiền (***),Chia cổ tức bằng tiền (***),Chia cổ tức bằng tiền (***),-,-,-,(30.522.176.434),(45.649.453.366),(76.171.629.800),,,,-30522176434.0,-45649453366.0,-76171629800.0
Thay đổi tỷ lệ sở hữu trong công ty con,Thay đổi tỷ lệ sở hữu trong công ty con,Thay đổi tỷ lệ sở hữu trong công ty con,-,-,-,(941.462.752),941.462.752,-,,,,-941462752.0,941462752.0,
Chuyển nhượng công ty con,Chuyển nhượng công ty con,Chuyển nhượng công ty con,-,-,-,6.804.009.016,(5.740.545.423),1.063.463.593,,,,6804009016.0,-5740545423.0,1063463593.0
Khác,Khác,Khác,-,-,(173.671.938),-,-,(173.671.938),,,-173671938.0,,,-173671938.0
Tai ngày 31 tháng 12 năm 2024,Tai ngày 31 tháng 12 năm 2024,Tai ngày 31 tháng 12 năm 2024,4.225.083.710.000,20.700.057.484,96.180.413.885,83.075.403.683,1.339.449.437.426,5.764.489.022.478,4225083710000.0,20700057484.0,96180413885.0,83075403683.0,1339449437426.0,5764489022478.0
