row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,181.530.596.172,195.013.743.724,181530596172.0,195013743724.0
Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,,
Chi phí không được khấu trừ,Điều chỉnh: > Chi phí không được khấu trừ,Chi phí không được khấu trừ,134.510.643.527,118.280.353.717,134510643527.0,118280353717.0
Lỗ tính thuế mà không ghi nhận tài sản thuế TNDN hoãn lại (*),Điều chỉnh: > Lỗ tính thuế mà không ghi nhận tài sản thuế TNDN hoãn lại (*),Lỗ tính thuế mà không ghi nhận tài sản thuế TNDN hoãn lại (*),278.882.729.689,136.160.058.821,278882729689.0,136160058821.0
Chênh lệch tạm thời mà không được ghi nhận thuế TNDN hoãn lại,Điều chỉnh: > Chênh lệch tạm thời mà không được ghi nhận thuế TNDN hoãn lại,Chênh lệch tạm thời mà không được ghi nhận thuế TNDN hoãn lại,33.972.319.497,(30.859.474.040),33972319497.0,-30859474040.0
Lỗ tính thuế đã được sử dụng,Điều chỉnh: > Lỗ tính thuế đã được sử dụng,Lỗ tính thuế đã được sử dụng,(222.450.625),-,-222450625.0,
Thu nhập chịu thuế ước tính,Điều chỉnh: > Thu nhập chịu thuế ước tính,Thu nhập chịu thuế ước tính,628.673.838.260,418.594.682.222,628673838260.0,418594682222.0
Thuế tính ở thuế suất 20%,Điều chỉnh: > Thuế tính ở thuế suất 20%,Thuế tính ở thuế suất 20%,84.841.663.716,56.434.954.410,84841663716.0,56434954410.0
Thuế tính ở thuế suất 10%,Điều chỉnh: > Thuế tính ở thuế suất 10%,Thuế tính ở thuế suất 10%,20.446.551.968,14.446.071.971,20446551968.0,14446071971.0
,,,105.288.215.684,70.881.026.381,105288215684.0,70881026381.0
Thuế được miễn hoặc giảm,Điều chỉnh: > Thuế được miễn hoặc giảm,Thuế được miễn hoặc giảm,(21.539.071.258),(19.191.229.769),-21539071258.0,-19191229769.0
Thuế TNDN các năm trước,Điều chỉnh: > Thuế TNDN các năm trước,Thuế TNDN các năm trước,5.708.061.664,-,5708061664.0,
Chi phí thuế TNDN (**),Điều chỉnh: > Chi phí thuế TNDN (**),Chi phí thuế TNDN (**),89.457.206.090,51.689.796.612,89457206090.0,51689796612.0
Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,,
Thuế TNDN - hiện hành,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất: > Thuế TNDN - hiện hành,Thuế TNDN - hiện hành,55.371.388.939,46.864.367.463,55371388939.0,46864367463.0
Thuế TNDN - hoãn lại (Thuyết minh 20),Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất: > Thuế TNDN - hoãn lại (Thuyết minh 20),Thuế TNDN - hoãn lại (Thuyết minh 20),34.085.817.151,4.825.429.149,34085817151.0,4825429149.0
Chi phí thuế TNDN,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất: > Chi phí thuế TNDN,Chi phí thuế TNDN,89.457.206.090,51.689.796.612,89457206090.0,51689796612.0
