row_label_raw,row_label_full,col_0,End of year,End of year_1,Beginning of year,Beginning of year_1,numeric__End of year,numeric__End of year_1,numeric__Beginning of year,numeric__Beginning of year_1
,,,Ordinary shares,%,Ordinary shares,%,,,,
Jera Asia Vietnam Holdings Pte.Ltd.,Jera Asia Vietnam Holdings Pte.Ltd.,Jera Asia Vietnam Holdings Pte.Ltd.,"125,756,637",35.10,"119,768,226",35.10,,3510.0,,3510.0
Thanh Thanh Cong Investment Joint Stock Company,Thanh Thanh Cong Investment Joint Stock Company,Thanh Thanh Cong Investment Joint Stock Company,"60,161,979",16.79,"57,297,125",16.79,,1679.0,,1679.0
Ben Tre Import Export Joint Stock Company,Ben Tre Import Export Joint Stock Company,Ben Tre Import Export Joint Stock Company,"22,668,931",6.33,"21,589,459",6.33,,633.0,,633.0
Thanh Thanh Cong – Bien Hoa Joint Stock Company,Thanh Thanh Cong – Bien Hoa Joint Stock Company,Thanh Thanh Cong – Bien Hoa Joint Stock Company,"39,376,509",10.99,"37,501,438",10.99,,1099.0,,1099.0
Bien Hoa Consumer Joint Stock Company,Bien Hoa Consumer Joint Stock Company,Bien Hoa Consumer Joint Stock Company,"18,912,980",5.28,"18,012,363",5.28,,528.0,,528.0
Thanh Thanh Cong Industrial Zone Joint Stock Company,Thanh Thanh Cong Industrial Zone Joint Stock Company,Thanh Thanh Cong Industrial Zone Joint Stock Company,"13,740,838",3.83,"13,086,514",3.83,,383.0,,383.0
Other shareholders,Other shareholders,Other shareholders,"77,690,497",21.68,"73,994,276",21.68,,2168.0,,2168.0
Number of shares,Number of shares,Number of shares,"358,308,371",100.00,"341,249,401",100.00,,10000.0,,10000.0
