row_label_raw,row_label_full,Tên công ty liên kết,Lĩnh vực kinh doanh,Số cuối năm > Tỷ lệ sở hữu và biểu quyết (%),Số cuối năm > Giá trị đầu tư,Số đầu năm > Tỷ lệ sở hữu và biểu quyết (%),Số đầu năm > Giá trị đầu tư,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm > Tỷ lệ sở hữu và biểu quyết (%),numeric__Số cuối năm > Giá trị đầu tư,numeric__Số đầu năm > Tỷ lệ sở hữu và biểu quyết (%),numeric__Số đầu năm > Giá trị đầu tư
Tên công ty liên kết,Tên công ty liên kết,Tên công ty liên kết,Lĩnh vực kinh doanh,Tỷ lệ sở hữu và biểu quyết (%),Ngàn VND,Tỷ lệ sở hữu và biểu quyết (%),Ngàn VND,,,,,
Công ty Cổ phần Cao su Bidiphar (*),Tên công ty liên kết > Công ty Cổ phần Cao su Bidiphar (*),Công ty Cổ phần Cao su Bidiphar (*),Trồng cây cao su,"49,14",258.583.426,"49,14",265.503.612,,49.14,258583426.0,49.14,265503612.0
Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Tên công ty liên kết > Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Tư vấn và thiết kế,"25,00",7.610.439,"25,00",7.609.521,,25.0,7610439.0,25.0,7609521.0
TỔNG CỘNG,Tên công ty liên kết > TỔNG CỘNG,TỔNG CỘNG,,,266.193.865,,273.113.133,,,266193865.0,,273113133.0
