row_label_raw,row_label_full,Tổ chức thu xếp phát hành > HDBS > ACBS,Trái chủ > HD Bank -Chi nhánhSở giao dịchĐồng Nai (*) > Công ty TNHHDịch vụ Nôngnghiệp TâyNguyên (**),Số tiền(Ngàn VND) > 930.000.000 > 300.000.000,"Lãi suất (%/năm) > Lãi suất điều chỉnh ba (3)tháng một lần và bằng chi phívốn VND mười hai (12) thángcủa HD Bank cộng với biếndộ 3,50 (2020: 12,57) > Lãi suất tiền gửi kỳ hạn mưòiba (13) tháng của Ngân hàngThương mại Cổ phần TiênPhong cộng với biển độ 4,50(2020: 10,00)",Ngàyđảo hạn > Từ ngày 30 tháng6 năm 2021 đếnngày 31 tháng 12năm 2023 > Ngày 18 tháng 6năm 2023,Mục đích > Bổ sung vốn cho các dựán đầu tư và tái cấu trúcnợ vay của Tập đoàn,"Tài sản thế chấp(TM số 10, 11, 12, 13 và 14) > 172.070.455 cổ phiếu HNGthuộc sở hữu của Công ty. > 40.000.000 cổ phiếu HNGthuộc sở hữu của Công ty.",numeric__Trái chủ > HD Bank -Chi nhánhSở giao dịchĐồng Nai (*) > Công ty TNHHDịch vụ Nôngnghiệp TâyNguyên (**),numeric__Số tiền(Ngàn VND) > 930.000.000 > 300.000.000,"numeric__Lãi suất (%/năm) > Lãi suất điều chỉnh ba (3)tháng một lần và bằng chi phívốn VND mười hai (12) thángcủa HD Bank cộng với biếndộ 3,50 (2020: 12,57) > Lãi suất tiền gửi kỳ hạn mưòiba (13) tháng của Ngân hàngThương mại Cổ phần TiênPhong cộng với biển độ 4,50(2020: 10,00)",numeric__Ngàyđảo hạn > Từ ngày 30 tháng6 năm 2021 đếnngày 31 tháng 12năm 2023 > Ngày 18 tháng 6năm 2023,numeric__Mục đích > Bổ sung vốn cho các dựán đầu tư và tái cấu trúcnợ vay của Tập đoàn,"numeric__Tài sản thế chấp(TM số 10, 11, 12, 13 và 14) > 172.070.455 cổ phiếu HNGthuộc sở hữu của Công ty. > 40.000.000 cổ phiếu HNGthuộc sở hữu của Công ty."
Chỉ phí phát hành trái phiếu,Chỉ phí phát hành trái phiếu,Chỉ phí phát hành trái phiếu,Chỉ phí phát hành trái phiếu,(5.787.788),,,,,,-5787788.0,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.224.212.212,,,,,,1224212212.0,,,,
Trong đó:Trái phiếu dài hạnTrái phiếu dài hạnđến hạn trả,Trong đó:Trái phiếu dài hạnTrái phiếu dài hạnđến hạn trả,Trong đó:Trái phiếu dài hạnTrái phiếu dài hạnđến hạn trả,Trong đó:Trái phiếu dài hạnTrái phiếu dài hạnđến hạn trả,915.984.156308.228.056,,,,,,9.159841563082281e+17,,,,
