row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại - Thuyết minh số 38),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại - Thuyết minh số 38)
300,300,300,C. NỘ PHẢI TRẢ,,27.238.024.092,21.823.683.301,,,27238024092.0,21823683301.0
310,310,310,I. Nợ ngắn hạn,,15.428.980.447,8.089.793.475,,,15428980447.0,8089793475.0
311,311,311,1. Phải trả người bán ngắn hạn,19,1.474.036.885,1.014.993.762,,19.0,1474036885.0,1014993762.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,20,633.729.744,239.268.824,,20.0,633729744.0,239268824.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,21,32.844.475,32.597.878,,21.0,32844475.0,32597878.0
314,314,314,4. Phải trả người lao động,,175.795.782,109.501.022,,,175795782.0,109501022.0
315,315,315,5. Chi phí phải trả ngắn hạn,22,2.864.427.371,.020.469.752,,22.0,2864427371.0,20469752.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,,409.091,60.667,,,409091.0,60667.0
319,319,319,7. Phải trả ngắn hạn khác,23,1.475.782.291,920.339.356,,23.0,1475782291.0,920339356.0
320,320,320,8. Vay ngắn hạn,24,8.771.851.298,3.752.458.704,,24.0,8771851298.0,3752458704.0
322,322,322,"9. Quỹ khen thưởng, phúc lợi",,103.510,103.510,,,103510.0,103510.0
330,330,330,II. Nợ dài hạn,,11.809.043.645,13.733.889.826,,,11809043645.0,13733889826.0
333,333,333,1. Chi phí phải trả dài hạn,22,1.173.684.620,1.990.123.829,,22.0,1173684620.0,1990123829.0
337,337,337,2. Phải trả dài hạn khác,23,454.179.120,570.972.657,,23.0,454179120.0,570972657.0
338,338,338,3. Vay dài hạn,24,9.330.999.170,10.945.607.569,,24.0,9330999170.0,10945607569.0
341,341,341,4. Thuế thu nhập hoãn lại phải trả,33.2,844.467.369,221.472.405,,332.0,844467369.0,221472405.0
342,342,342,5. Dự phòng phải trả dài hạn,,5.713.366,5.713.366,,,5713366.0,5713366.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,10.027.795.459,11.751.757.223,,,10027795459.0,11751757223.0
410,410,410,I. Vốn chủ sở hữu,,10.027.795.459,11.751.757.223,,,10027795459.0,11751757223.0
411,411,411,1. Vốn cổ phần,25.1,9.274.679.470,9.274.679.470,,251.0,9274679470.0,9274679470.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,9.274.679.470,9.274.679.470,,,9274679470.0,9274679470.0
412,412,412,2. Thặng dư vốn cổ phần,25.1,3.263.858.784,3.263.858.784,,251.0,3263858784.0,3263858784.0
415,415,415,3. Cổ phiếu quỹ,25.1,(686.640),(686.640),,251.0,-686640.0,-686640.0
417,417,417,4. Chênh lệch tỷ giá hối đoái,25.1,(1.440.136.262),(424.458.674),,251.0,-1440136262.0,-424458674.0
418,418,418,5. Quỹ đầu tư phát triển,25.1,282.410.699,281.668.774,,251.0,282410699.0,281668774.0
421,421,421,6. Lỗ lũy kế,25.1,(6.301.662.837),(4.766.207.329),,251.0,-6301662837.0,-4766207329.0
421a,421a,421a,- Lỗ lũy kế đến cuối năm trước,,(5.046.001.493),(4.882.856.972),,,-5046001493.0,-4882856972.0
421b,421b,421b,- (Lỗ)/lợi nhuận sau thuế chưa phân phối năm nay,,(1.255.661.344),116.649.643,,,-1255661344.0,116649643.0
429,429,429,7. Lợi ích cổ đông không kiểm soát,26,4.949.332.245,4.122.902.838,,26.0,4949332245.0,4122902838.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,37.265.819.551,33.575.440.524,,,37265819551.0,33575440524.0
