row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Lãi suất %/năm,Số cuối năm,Ngân VND Số đầu năm,numeric__Mối quan hệ,numeric__Lãi suất %/năm,numeric__Số cuối năm,numeric__Ngân VND Số đầu năm
Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),,,,
Công ty Cổ phần Lê Me,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty liên quan,"11,50",3.644.498.048,857.847.971,,11.5,3644498048.0,857847971.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,"12,00",86.936.725,86.936.725,,12.0,86936725.0,86936725.0
Ông Nguyễn Ngọc Mai,Phải thu về cho vay ngắn hạn (TM số 8) > Ông Nguyễn Ngọc Mai,Ông Nguyễn Ngọc Mai,Bên liên quan,-,30.000.000,-,,,30000000.0,
Ông Lê Văn Thạch,Phải thu về cho vay ngắn hạn (TM số 8) > Ông Lê Văn Thạch,Ông Lê Văn Thạch,Bên liên quan,-,15.000.000,-,,,15000000.0,
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai - CN Nhà Máy Nhựa Hoàng Anh,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai - CN Nhà Máy Nhựa Hoàng Anh,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai - CN Nhà Máy Nhựa Hoàng Anh,Công ty liên quan,"10,00",3.000.000,-,,10.0,3000000.0,
Bà Hồ Thị Kim Chi,Phải thu về cho vay ngắn hạn (TM số 8) > Bà Hồ Thị Kim Chi,Bà Hồ Thị Kim Chi,Phó Tổng Giám đốc,-,1.811.406,16.742.127,,,1811406.0,16742127.0
Công ty Cổ phần Chăn nuôi Gia Lai,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty con (từ ngày 10 tháng 9 năm 2020),"9,75 - 10,00",-,1.068.890.232,,,,1068890232.0
Ông Đoàn Nguyên Đức,Phải thu về cho vay ngắn hạn (TM số 8) > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch HĐQT,-,-,20.120.000,,,,20120000.0
Bà Võ Thị Mỹ Hạnh,Phải thu về cho vay ngắn hạn (TM số 8) > Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Thành viên HĐQT,-,-,1.636.000,,,,1636000.0
,,,,,3.781.246.179,2.052.173.055,,,3781246179.0,2052173055.0
Phải thu về cho vay dài hạn (TM số 8),Phải thu về cho vay dài hạn (TM số 8),Phải thu về cho vay dài hạn (TM số 8),Phải thu về cho vay dài hạn (TM số 8),Phải thu về cho vay dài hạn (TM số 8),Phải thu về cho vay dài hạn (TM số 8),Phải thu về cho vay dài hạn (TM số 8),,,,
Công ty Cổ phần Lê Me,Phải thu về cho vay dài hạn (TM số 8) > Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty liên quan,"11,50",840.307.997,3.225.489.778,,11.5,840307997.0,3225489778.0
Ông Nguyễn Ngọc Mai,Phải thu về cho vay dài hạn (TM số 8) > Ông Nguyễn Ngọc Mai,Ông Nguyễn Ngọc Mai,Bên liên quan,"4,80",253.800.000,-,,4.8,253800000.0,
Ông Lê Văn Thạch,Phải thu về cho vay dài hạn (TM số 8) > Ông Lê Văn Thạch,Ông Lê Văn Thạch,Bên liên quan,"4,80",126.900.000,-,,4.8,126900000.0,
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Phải thu về cho vay dài hạn (TM số 8) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,"12,00",100.000.000,100.000.000,,12.0,100000000.0,100000000.0
Ông Trần Quang Dũng,Phải thu về cho vay dài hạn (TM số 8) > Ông Trần Quang Dũng,Ông Trần Quang Dũng,Bên liên quan,"4,80",42.300.000,-,,4.8,42300000.0,
Công ty Cổ phần Chăn nuôi Gia Lai,Phải thu về cho vay dài hạn (TM số 8) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty con (từ ngày 10 tháng 9 năm 2020),"4,80 - 12,00",-,4.127.769.425,,,,4127769425.0
,,,,,1.363.307.997,7.453.259.203,,,1363307997.0,7453259203.0
