row_label_raw,row_label_full,Tổ chức thu xếp phát hành > TPBank > TPS,Trái chủ > Ngân hàngThương mạiCổ phần TiênPhong > Cá nhân,Số tiền(Ngàn VND) > 350.000.000 > 200.000.000,"Lãi suất(%/năm) > Lãi suất điều chỉnh sáu(6) tháng một lần và bằng lãi suất tiền gửi tiết kiệm (12) tháng của TP Bank cộng với biên độ 3,50 (2020: 10,00) > 9,50",Ngày đáo hạn > Ngày 28 tháng 10 năm 2024 > Ngày 4 tháng 12 năm 2021,"Mục đích > Thực hiện các chương trình, dự án đầu tư của Tập đoàn","Tài sản thế chấp(TM số 9, 10, 11, 12, 13 và 14) > Tài sản gắn liền với đất hình thành trong tương lai là vườn cây lâu năm (cây ăn quả) cùng toàn bộ các quyền và lợi ích phát sinh từ việc khai thác vườn cây lâu năm (cây ăn quả) thuộc sở hữu của Chăn Nuôi Gia Lai nằm trên thừa đất có giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất số: BY 440741 cấp ngày 10/11/2015; với diện tích 1.642.000 m2; 64.000.000 cổ phiếu HAG thuộc sở hữu của ông Đoàn Nguyên Đức;Quyền tài sản gồm tiền nợ gốc, lãi, tiền phạt, bồi thường thiết hại và toàn bộ các khoản phải thu phát sinh từ Hợp đồng hợp tác Số 0809/2020/HTDTKD/HTLGL-LEME giữa Hưng Thắng Lợi và Công ty Cổ phần Lê Me ngày 8 tháng 9 năm 2020 (TM số 9). > Quyền sử dụng đất, tài sản gắn liền với đất hình thành trong tương lai và quyền khai thác vườn cây ăn quả với tổng diện tích 498,28 ha tại Xã Ia Băng, Huyện Chư Prong, tại Xã Ia Péch, Huyện Ia Grai và tại Làng A, Xã Gào, Thành phố Pleiku, Tĩnh Gia Lai, Việt Nam thuộc sở hữu của Bò sữa Tây Nguyên.",numeric__Trái chủ > Ngân hàngThương mạiCổ phần TiênPhong > Cá nhân,numeric__Số tiền(Ngàn VND) > 350.000.000 > 200.000.000,"numeric__Lãi suất(%/năm) > Lãi suất điều chỉnh sáu(6) tháng một lần và bằng lãi suất tiền gửi tiết kiệm (12) tháng của TP Bank cộng với biên độ 3,50 (2020: 10,00) > 9,50",numeric__Ngày đáo hạn > Ngày 28 tháng 10 năm 2024 > Ngày 4 tháng 12 năm 2021,"numeric__Mục đích > Thực hiện các chương trình, dự án đầu tư của Tập đoàn","numeric__Tài sản thế chấp(TM số 9, 10, 11, 12, 13 và 14) > Tài sản gắn liền với đất hình thành trong tương lai là vườn cây lâu năm (cây ăn quả) cùng toàn bộ các quyền và lợi ích phát sinh từ việc khai thác vườn cây lâu năm (cây ăn quả) thuộc sở hữu của Chăn Nuôi Gia Lai nằm trên thừa đất có giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất số: BY 440741 cấp ngày 10/11/2015; với diện tích 1.642.000 m2; 64.000.000 cổ phiếu HAG thuộc sở hữu của ông Đoàn Nguyên Đức;Quyền tài sản gồm tiền nợ gốc, lãi, tiền phạt, bồi thường thiết hại và toàn bộ các khoản phải thu phát sinh từ Hợp đồng hợp tác Số 0809/2020/HTDTKD/HTLGL-LEME giữa Hưng Thắng Lợi và Công ty Cổ phần Lê Me ngày 8 tháng 9 năm 2020 (TM số 9). > Quyền sử dụng đất, tài sản gắn liền với đất hình thành trong tương lai và quyền khai thác vườn cây ăn quả với tổng diện tích 498,28 ha tại Xã Ia Băng, Huyện Chư Prong, tại Xã Ia Péch, Huyện Ia Grai và tại Làng A, Xã Gào, Thành phố Pleiku, Tĩnh Gia Lai, Việt Nam thuộc sở hữu của Bò sữa Tây Nguyên."
Chỉ phí phát hành trái phiếu,Chỉ phí phát hành trái phiếu,Chỉ phí phát hành trái phiếu,Chỉ phí phát hành trái phiếu,(5.473.893),,,,,,-5473893.0,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,544.526.107,,,,,,544526107.0,,,,
Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,298.011.161,,,,,,298011161.0,,,,
Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,246.514.946,,,,,,246514946.0,,,,
