row_label_raw,row_label_full,Tên ngân hàng,Số tiền(Ngân VND),Thời hạn thanh toánvà ngày đáo hạn,Lãi suất(%/năm),"Tài sản thế chấp(TM số 10, 11, 12, 13 và 14)",numeric__Số tiền(Ngân VND),numeric__Thời hạn thanh toánvà ngày đáo hạn,numeric__Lãi suất(%/năm),"numeric__Tài sản thế chấp(TM số 10, 11, 12, 13 và 14)"
"Ngân hàng Lào - Việt, Chi nhánh Attapeu (tiếp theo)","Ngân hàng Lào - Việt, Chi nhánh Attapeu (tiếp theo)","Ngân hàng Lào - Việt, Chi nhánh Attapeu (tiếp theo)","Ngân hàng Lào - Việt, Chi nhánh Attapeu (tiếp theo)","Ngân hàng Lào - Việt, Chi nhánh Attapeu (tiếp theo)","Ngân hàng Lào - Việt, Chi nhánh Attapeu (tiếp theo)","Ngân hàng Lào - Việt, Chi nhánh Attapeu (tiếp theo)",,,,
Khoản vay 3 (i),"Ngân hàng Lào - Việt, Chi nhánh Attapeu (tiếp theo) > Khoản vay 3 (i)",Khoản vay 3 (i),169.173.724,Từ ngày 25 tháng 10năm 2019 đến ngày 25tháng 10 năm 2022,"10,00","Quyền sử dụng 3 lô đất với tổng diện tích 1.001,78 ha tại Huyện Laman,Tỉnh Sekong, Lào thuộc sở hữu của Công ty TNHH Công nghiệp và Nôngnghiệp Cao su Hoàng Anh - Quang Minh; Giá trị toàn bộ tài sản trên đất làvườn cây cao su diện tích 420,91 ha tại Huyện Laman, Tĩnh Sekong, Làothuộc sở hữu của Công ty TNHH Công nghiệp và Nông nghiệp Cao suHoàng Anh - Quang Minh.",169173724.0,,10.0,
Khoản vay 4 (ii),"Ngân hàng Lào - Việt, Chi nhánh Attapeu (tiếp theo) > Khoản vay 4 (ii)",Khoản vay 4 (ii),59.930.150,Từ ngày 25 tháng 5năm 2019 đến ngày 25tháng 11 năm 2020,"10,00","Tất cả các dụng cụ xây dựng, vật tư máy móc phục vụ cho dự án xâydựng nhà máy chế biến cọ đầu phát sinh sau khi bổ vốn đầu tư thuộc sởhữu của Công ty TNHH Phát triểnNông nghiệp Hoàng Anh Attapeu.",59930150.0,,10.0,
Khoản vay 5,"Ngân hàng Lào - Việt, Chi nhánh Attapeu (tiếp theo) > Khoản vay 5",Khoản vay 5,261.901.000,Ngày 22 tháng 10 năm2021,"8,50","02 lô đất tại Bản Honglay, Huyện Laman, Tĩnh Sekong, Lào;Trụ sở làm việc tại Bản NongYoi, Huyện Paksong, Tĩnh Champasak, Lào;Quyền sở hữu, khai thác diện tích 939 ha vườn cây ăn quả tại HuyệnLaman, Tĩnh Sekong, Lào thuộc sở hữu của Công ty TNHH MTV Phátriển Nông nghiệp Đại Thắng.",261901000.0,,8.5,
TỔNG CỘNG,"Ngân hàng Lào - Việt, Chi nhánh Attapeu (tiếp theo) > TỔNG CỘNG",TỔNG CỘNG,1.025.470.346,,,,1025470346.0,,,
Trong đó:Vay dài hạnVay dài hạnđến hạn trả,"Ngân hàng Lào - Việt, Chi nhánh Attapeu (tiếp theo) > Trong đó:Vay dài hạnVay dài hạnđến hạn trả",Trong đó:Vay dài hạnVay dài hạnđến hạn trả,347.437.656678.032.690,,,,3.474376566780327e+17,,,
