row_label_raw,row_label_full,col_0,Vay ngắn hạn,Vay dài hạn,Ngàn VND Tổng cộng,numeric__Vay ngắn hạn,numeric__Vay dài hạn,numeric__Ngàn VND Tổng cộng
Số đầu năm,Số đầu năm,Số đầu năm,3.752.458.704,10.945.607.569,14.698.066.273,3752458704.0,10945607569.0,14698066273.0
Tiền thu từ đi vay,Tiền thu từ đi vay,Tiền thu từ đi vay,3.493.325.133,4.312.252.263,7.805.577.396,3493325133.0,4312252263.0,7805577396.0
Cán trừ công nợ,Cán trừ công nợ,Cán trừ công nợ,1.486.465.713,(1.159.395.894),327.069.819,1486465713.0,-1159395894.0,327069819.0
Mua công ty con,Mua công ty con,Mua công ty con,162.216.760,603.277.748,765.494.508,162216760.0,603277748.0,765494508.0
Phân bổ chi phí phát hành trái phiếu,Phân bổ chi phí phát hành trái phiếu,Phân bổ chi phí phát hành trái phiếu,-,11.817.678,11.817.678,,11817678.0,11817678.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,4.789.512.767,(4.789.512.767),-,4789512767.0,-4789512767.0,
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,-,(7.635.411),(7.635.411),,-7635411.0,-7635411.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,(19.523.236),(53.917.805),(73.441.041),-19523236.0,-53917805.0,-73441041.0
Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(249.718.811),(443.299.914),(693.018.725),-249718811.0,-443299914.0,-693018725.0
Tiền chi trả nợ gốc vay,Tiền chi trả nợ gốc vay,Tiền chi trả nợ gốc vay,(4.642.885.732),(88.194.297),(4.731.080.029),-4642885732.0,-88194297.0,-4731080029.0
Số cuối năm,Số cuối năm,Số cuối năm,8.771.851.298,9.330.999.170,18.102.850.468,8771851298.0,9330999170.0,18102850468.0
