row_label_raw,row_label_full,Tên ngân hàng,Số tiền(Ngàn VND),Thời hạn thanh toánvà ngày đáo hạn,Lãi suất(%/năm),"Tài sản thế chấp(TM số 10, 11, 12, 13 và 14)",numeric__Số tiền(Ngàn VND),numeric__Thời hạn thanh toánvà ngày đáo hạn,numeric__Lãi suất(%/năm),"numeric__Tài sản thế chấp(TM số 10, 11, 12, 13 và 14)"
"Ngân hàng Lào - Việt, Chi nhánh Attapeu","Ngân hàng Lào - Việt, Chi nhánh Attapeu","Ngân hàng Lào - Việt, Chi nhánh Attapeu","Ngân hàng Lào - Việt, Chi nhánh Attapeu","Ngân hàng Lào - Việt, Chi nhánh Attapeu","Ngân hàng Lào - Việt, Chi nhánh Attapeu","Ngân hàng Lào - Việt, Chi nhánh Attapeu",,,,
Khoản vay 1 (i),"Ngân hàng Lào - Việt, Chi nhánh Attapeu > Khoản vay 1 (i)",Khoản vay 1 (i),289.337.282,Từ ngày 25 tháng 11 năm 2019đến ngày 25 tháng 8 năm 2022,"10,00","Trụ sở làm việc của Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu tại Km 31, Bản Hatxan, Huyện Xaysettha, Tĩnh Attapeu, Lào theo bản đồ đất số 17 001 0008 với diện tích đất 0,3 ha;Nhà máy chế biến mũ cao su tại Huyện Xaysettha, Tĩnh Attapeu, Lào và toàn bộ đàn bò (14.219 con) nhập về thuộc sở hữu của Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu.",289337282.0,,10.0,
Khoản vay 2 (ii),"Ngân hàng Lào - Việt, Chi nhánh Attapeu > Khoản vay 2 (ii)",Khoản vay 2 (ii),245.128.190,Từ ngày 25 tháng 03 năm 2021đến ngày 25 tháng 12 năm 2026,"LAK: 12,75USD: 10,00","Quyền sử dụng và khai thác 4.733,01 ha cao su và 3.155,79 hacọ đầu tại Tĩnh Attapeu, Lào của Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu.",245128190.0,,,
