row_label_raw,row_label_full,Các bên liên quan,Môi quan hệ,Giao dịch,Năm nay,Ngàn VNDNăm trước,numeric__Môi quan hệ,numeric__Giao dịch,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công tyliên quan,Lãi cho vay,-,11.504.781,,,,11504781.0
Công ty Cổ phần Thương mại Dịch vụ Xây dựng Phúc Bảo Minh,Công ty Cổ phần Thương mại Dịch vụ Xây dựng Phúc Bảo Minh,Công ty Cổ phần Thương mại Dịch vụ Xây dựng Phúc Bảo Minh,Công tyliên quan,Lãi cho vay,-,3.652.777,,,,3652777.0
Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công tyliên quan,Lãi cho vay,-,3.384.688,,,,3384688.0
