row_label_raw,row_label_full,col_0,Lợi thế thương mại phát sinh từ mua các công ty con,Lợi thế thương mại phát sinh từ mua các công ty con_1,Lợi thế thương mại phát sinh từ mua các công ty con_2,Lợi thế thương mại phát sinh từ mua các công ty con_3,numeric__Lợi thế thương mại phát sinh từ mua các công ty con,numeric__Lợi thế thương mại phát sinh từ mua các công ty con_1,numeric__Lợi thế thương mại phát sinh từ mua các công ty con_2,numeric__Lợi thế thương mại phát sinh từ mua các công ty con_3
,,,Bò sữa Tây Nguyên,An Đông Mia,Đại Thắng,Tổng cộng,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,54.979.339,451.484.022,1.072.826.621,1.579.289.982,54979339.0,451484022.0,1072826621.0,1579289982.0
Thanh lý công ty con,Nguyên giá > Thanh lý công ty con,Thanh lý công ty con,-,(451.484.022),-,(451.484.022),,-451484022.0,,-451484022.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,54.979.339,-,1.072.826.621,1.127.805.960,54979339.0,,1072826621.0,1127805960.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số đầu năm,Giá trị hao mòn luỹ kế > Số đầu năm,Số đầu năm,(25.555.273),(211.015.482),(363.847.658),(600.418.413),-25555273.0,-211015482.0,-363847658.0,-600418413.0
Hao mòn trong năm,Giá trị hao mòn luỹ kế > Hao mòn trong năm,Hao mòn trong năm,(5.497.932),(45.148.404),(107.282.666),(157.929.002),-5497932.0,-45148404.0,-107282666.0,-157929002.0
Thanh lý công ty con,Giá trị hao mòn luỹ kế > Thanh lý công ty con,Thanh lý công ty con,-,256.163.886,-,256.163.886,,256163886.0,,256163886.0
Số cuối năm,Giá trị hao mòn luỹ kế > Số cuối năm,Số cuối năm,(31.053.205),-,(471.130.324),(502.183.529),-31053205.0,,-471130324.0,-502183529.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,29.424.066,240.468.540,708.978.963,978.871.569,29424066.0,240468540.0,708978963.0,978871569.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,23.926.134,-,601.696.297,625.622.431,23926134.0,,601696297.0,625622431.0
