row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lai - Thuyết minh số 38),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lai - Thuyết minh số 38)
,,,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
33,33,33,Tiền thu từ đi vay,24,7.805.577.396,4.568.150.621,,24.0,7805577396.0,4568150621.0
34,34,34,Tiền trả nợ gốc vay,24,(4.731.080.029),(8.346.126.254),,24.0,-4731080029.0,-8346126254.0
40,40,40,Lưu chuyển tiền thuần từ (sử dụng vào) hoạt động tài chính,,3.074.497.367,(3.777.975.633),,,3074497367.0,-3777975633.0
50,50,50,Lưu chuyển tiền thuần trong năm,,(157.280.418),(83.305.103),,,-157280418.0,-83305103.0
60,60,60,Tiền đầu năm,,254.431.616,337.736.719,,,254431616.0,337736719.0
70,70,70,Tiền cuối năm,5,97.151.198,254.431.616,,5.0,97151198.0,254431616.0
