row_label_raw,row_label_full,col_0,Số cuối năm,Ngân VND Số đầu năm (Trình bày lại - Thuyết minh số 38),numeric__Số cuối năm,numeric__Ngân VND Số đầu năm (Trình bày lại - Thuyết minh số 38)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Cho vay ngắn hạn bên liên quan (TM số 34) (i),Ngắn hạn > Cho vay ngắn hạn bên liên quan (TM số 34) (i),Cho vay ngắn hạn bên liên quan (TM số 34) (i),3.781.246.179,2.052.173.055,3781246179.0,2052173055.0
Cho vay ngắn hạn các bên khác (ii),Ngắn hạn > Cho vay ngắn hạn các bên khác (ii),Cho vay ngắn hạn các bên khác (ii),405.231.025,215.195.363,405231025.0,215195363.0
,,,4.186.477.204,2.267.368.418,4186477204.0,2267368418.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Cho vay dài hạn bên liên quan (TM số 34) (i),Dài hạn > Cho vay dài hạn bên liên quan (TM số 34) (i),Cho vay dài hạn bên liên quan (TM số 34) (i),1.363.307.997,7.453.259.203,1363307997.0,7453259203.0
Cho vay dài hạn Chính phủ Lào - Dự án sân bay quốc tế Attapeu (iii),Dài hạn > Cho vay dài hạn Chính phủ Lào - Dự án sân bay quốc tế Attapeu (iii),Cho vay dài hạn Chính phủ Lào - Dự án sân bay quốc tế Attapeu (iii),17.230.477,17.305.360,17230477.0,17305360.0
Cho vay dài hạn các bên khác (ii),Dài hạn > Cho vay dài hạn các bên khác (ii),Cho vay dài hạn các bên khác (ii),402.110.000,43.380.903,402110000.0,43380903.0
,,,1.782.648.474,7.513.945.466,1782648474.0,7513945466.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,5.969.125.678,9.781.313.884,5969125678.0,9781313884.0
Dự phòng phải thu về cho vay khó đòi,Dài hạn > Dự phòng phải thu về cho vay khó đòi,Dự phòng phải thu về cho vay khó đòi,(2.305.282.094),(4.181.066.564),-2305282094.0,-4181066564.0
GIÁ TRỊ THUÀN,Dài hạn > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,3.663.843.584,5.600.247.320,3663843584.0,5600247320.0
