row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Lỗ lũy kế,Ngàn VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Lỗ lũy kế,numeric__Ngàn VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm(Trình bày lại - Thuyết minh số 38),Năm trước > Số đầu năm(Trình bày lại - Thuyết minh số 38),Số đầu năm(Trình bày lại - Thuyết minh số 38),9.274.679.470,3.263.858.784,(686.640),485.237.344,280.644.763,(4.993.613.469),8.310.120.252,9274679470.0,3263858784.0,-686640.0,485237344.0,280644763.0,-4993613469.0,8310120252.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,116.649.643,116.649.643,,,,,,116649643.0,116649643.0
Chênh lệch tỷ giá hối đoái,Năm trước > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,(909.696.018),-,-,(909.696.018),,,,-909696018.0,,,-909696018.0
"Thủ lao HĐQT, BKS và thư ký","Năm trước > Thủ lao HĐQT, BKS và thư ký","Thủ lao HĐQT, BKS và thư ký",-,-,-,-,-,(2.797.000),(2.797.000),,,,,,-2797000.0,-2797000.0
Trích lập quỹ,Năm trước > Trích lập quỹ,Trích lập quỹ,-,-,-,-,1.024.011,(1.024.011),-,,,,,1024011.0,-1024011.0,
Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát,Năm trước > Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát,Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát,-,-,-,-,-,114.577.508,114.577.508,,,,,,114577508.0,114577508.0
Số cuối năm(Trình bày lại - Thuyết minh số 38),Năm trước > Số cuối năm(Trình bày lại - Thuyết minh số 38),Số cuối năm(Trình bày lại - Thuyết minh số 38),9.274.679.470,3.263.858.784,(686.640),(424.458.674),281.668.774,(4.766.207.329),7.628.854.385,9274679470.0,3263858784.0,-686640.0,-424458674.0,281668774.0,-4766207329.0,7628854385.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm(Trình bày lại - Thuyết minh số 38),Năm nay > Số đầu năm(Trình bày lại - Thuyết minh số 38),Số đầu năm(Trình bày lại - Thuyết minh số 38),9.274.679.470,3.263.858.784,(686.640),(424.458.674),281.668.774,(4.766.207.329),7.628.854.385,9274679470.0,3263858784.0,-686640.0,-424458674.0,281668774.0,-4766207329.0,7628854385.0
Lỗ thuần trong năm,Năm nay > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,-,(1.255.661.344),(1.255.661.344),,,,,,-1255661344.0,-1255661344.0
Chênh lệch tỷ giá hối đoái,Năm nay > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,(1.067.799.291),-,-,(1.067.799.291),,,,-1067799291.0,,,-1067799291.0
"Thủ lao HĐQT, BKS và thư ký","Năm nay > Thủ lao HĐQT, BKS và thư ký","Thủ lao HĐQT, BKS và thư ký",-,-,-,-,-,(483.512),(483.512),,,,,,-483512.0,-483512.0
Trích lập quỹ,Năm nay > Trích lập quỹ,Trích lập quỹ,-,-,-,-,741.925,(741.925),-,,,,,741925.0,-741925.0,
Phân chia lợi nhuận của công ty con,Năm nay > Phân chia lợi nhuận của công ty con,Phân chia lợi nhuận của công ty con,-,-,-,-,-,(2.228.668),(2.228.668),,,,,,-2228668.0,-2228668.0
Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát,Năm nay > Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát,Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát,-,-,-,-,-,(276.340.059),(276.340.059),,,,,,-276340059.0,-276340059.0
Thanh lý công ty con,Năm nay > Thanh lý công ty con,Thanh lý công ty con,-,-,-,52.121.703,-,-,52.121.703,,,,52121703.0,,,52121703.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,9.274.679.470,3.263.858.784,(686.640),(1.440.136.262),282.410.699,(6.301.662.837),5.078.463.214,9274679470.0,3263858784.0,-686640.0,-1440136262.0,282410699.0,-6301662837.0,5078463214.0
