row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm (Trình bày lại - Thuyết minh số 38),numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm (Trình bày lại - Thuyết minh số 38)
Trả trước cho nhà cung cấp hàng hóa và dịch vụ,Trả trước cho nhà cung cấp hàng hóa và dịch vụ,Trả trước cho nhà cung cấp hàng hóa và dịch vụ,94.404.315,108.160.565,94404315.0,108160565.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Công ty TNHH MTV Thương mại Thành An,Trong đó: > - Công ty TNHH MTV Thương mại Thành An,- Công ty TNHH MTV Thương mại Thành An,12.919.700,4.067.000,12919700.0,4067000.0
- Các nhà cung cấp khác,Trong đó: > - Các nhà cung cấp khác,- Các nhà cung cấp khác,81.484.615,104.093.565,81484615.0,104093565.0
Trả trước cho nhà thầu xây dựng và mua máy móc thiết bị,Trong đó: > Trả trước cho nhà thầu xây dựng và mua máy móc thiết bị,Trả trước cho nhà thầu xây dựng và mua máy móc thiết bị,14.241.176,25.671.177,14241176.0,25671177.0
Trả trước cho người bán khác,Trong đó: > Trả trước cho người bán khác,Trả trước cho người bán khác,497.855,240.818.986,497855.0,240818986.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,109.143.346,374.650.728,109143346.0,374650728.0
Dự phòng phải thu khó đòi,Trong đó: > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(24.753.411),(2.299.803),-24753411.0,-2299803.0
GIÁ TRỊ THUÀN,Trong đó: > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,84.389.935,372.350.925,84389935.0,372350925.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Trả trước các bên thứ ba,Trong đó: > Trả trước các bên thứ ba,Trả trước các bên thứ ba,85.889.895,372.350.925,85889895.0,372350925.0
Trả trước các bên liên quan (TM số 34),Trong đó: > Trả trước các bên liên quan (TM số 34),Trả trước các bên liên quan (TM số 34),23.253.451,2.299.803,23253451.0,2299803.0
