row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 (Trình bày lại - Thuyết minh số 38),Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 (Trình bày lại - Thuyết minh số 38),Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 (Trình bày lại - Thuyết minh số 38),Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 (Trình bày lại - Thuyết minh số 38),Khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 (Trình bày lại - Thuyết minh số 38),Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 (Trình bày lại - Thuyết minh số 38),numeric__Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 (Trình bày lại - Thuyết minh số 38),numeric__Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 (Trình bày lại - Thuyết minh số 38),numeric__Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 (Trình bày lại - Thuyết minh số 38),numeric__Khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 (Trình bày lại - Thuyết minh số 38),numeric__Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 (Trình bày lại - Thuyết minh số 38)
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu từ khách hàng bên ngoài,Doanh thu > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,1.518.326.391,71.615.455,72.494.906,413.007.272,2.075.444.024,1518326391.0,71615455.0,72494906.0,413007272.0,2075444024.0
Chi phí hình thành tài sản cố định,Doanh thu > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,210.274.272,1.285.463.805,679.912.947,-,2.175.651.024,210274272.0,1285463805.0,679912947.0,,2175651024.0
Vào ngày 31 tháng 12 năm 2019 (Trình bày lại - Thuyết minh số 38),Vào ngày 31 tháng 12 năm 2019 (Trình bày lại - Thuyết minh số 38),Vào ngày 31 tháng 12 năm 2019 (Trình bày lại - Thuyết minh số 38),Vào ngày 31 tháng 12 năm 2019 (Trình bày lại - Thuyết minh số 38),Vào ngày 31 tháng 12 năm 2019 (Trình bày lại - Thuyết minh số 38),Vào ngày 31 tháng 12 năm 2019 (Trình bày lại - Thuyết minh số 38),Vào ngày 31 tháng 12 năm 2019 (Trình bày lại - Thuyết minh số 38),Vào ngày 31 tháng 12 năm 2019 (Trình bày lại - Thuyết minh số 38),,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,
Tài sản bộ phận,Các thông tin bộ phận khác > Tài sản bộ phận,Tài sản bộ phận,10.671.434.858,14.367.983.753,8.008.477.164,-,33.047.895.775,10671434858.0,14367983753.0,8008477164.0,,33047895775.0
Tiền,Các thông tin bộ phận khác > Tiền,Tiền,,,,,254.431.616,,,,,254431616.0
Đầu tư vào công ty liên kết,Các thông tin bộ phận khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,273.113.133,,,,,273113133.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,,33.575.440.524,,,,,33575440524.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu từ khách hàng bên ngoài,Doanh thu > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,2.208.058.651,231.786.705,48.975.262,687.825.338,3.176.645.956,2208058651.0,231786705.0,48975262.0,687825338.0,3176645956.0
Chi phí hình thành tài sản cố định,Doanh thu > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,166.860.532,690.716.762,914.742.077,-,1.772.319.371,166860532.0,690716762.0,914742077.0,,1772319371.0
Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,
Tài sản bộ phận,Các thông tin bộ phận khác > Tài sản bộ phận,Tài sản bộ phận,16.349.124.058,13.401.401.402,7.151.949.028,-,36.902.474.488,16349124058.0,13401401402.0,7151949028.0,,36902474488.0
Tiền,Các thông tin bộ phận khác > Tiền,Tiền,,,,,97.151.198,,,,,97151198.0
Đầu tư vào công ty liên kết,Các thông tin bộ phận khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,266.193.865,,,,,266193865.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,,37.265.819.551,,,,,37265819551.0
