row_label_raw,row_label_full,Tên công ty,Lĩnh vực kinh doanh,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
Tên công ty,Tên công ty,Tên công ty,Lĩnh vực kinh doanh,Tỷ lệ sở hữu và biểu quyết %,Giá gốc đầu tư Ngân VND,Tỷ lệ sở hữu và biểu quyết %,Giá gốc đầu tư Ngân VND,,,,,
Công ty Cổ phần Truyền thông Thanh Niên,Tên công ty > Công ty Cổ phần Truyền thông Thanh Niên,Công ty Cổ phần Truyền thông Thanh Niên,Truyền thông,"2,00",6.200.000,"2,00",6.200.000,,2.0,6200000.0,2.0,6200000.0
Công ty Cổ phần Nông Lâm nghiệp Cánh Đồng Vàng,Tên công ty > Công ty Cổ phần Nông Lâm nghiệp Cánh Đồng Vàng,Công ty Cổ phần Nông Lâm nghiệp Cánh Đồng Vàng,Kinh doanh cây ăn quả,"15,00",2.594.610,"15,00",2.594.610,,15.0,2594610.0,15.0,2594610.0
Công ty Cổ phần Bóng đá chuyên nghiệp Việt nam,Tên công ty > Công ty Cổ phần Bóng đá chuyên nghiệp Việt nam,Công ty Cổ phần Bóng đá chuyên nghiệp Việt nam,Bóng đá,-,1.170.000,-,1.170.000,,,1170000.0,,1170000.0
Công ty Cổ phần Dịch vụ Thương mại Hàng không Viễn Đông,Tên công ty > Công ty Cổ phần Dịch vụ Thương mại Hàng không Viễn Đông,Công ty Cổ phần Dịch vụ Thương mại Hàng không Viễn Đông,Thương mại và vận tải,-,1.160.041,-,1.160.041,,,1160041.0,,1160041.0
TỔNG CỘNG,Tên công ty > TỔNG CỘNG,TỔNG CỘNG,,,11.124.651,,11.124.651,,,11124651.0,,11124651.0
