row_label_raw,row_label_full,Số đầu năm > Cộng: Dự phòng trích lập trong năm,Năm nay > 93.608.502 > 22.912.930,Ngàn VNDNăm trước(Trình bày lại -Thuyết minh số 38) > 171.335.909 > 33.040.143,numeric__Năm nay > 93.608.502 > 22.912.930,numeric__Ngàn VNDNăm trước(Trình bày lại -Thuyết minh số 38) > 171.335.909 > 33.040.143
Trừ: Giảm do mua công ty con,Trừ: Giảm do mua công ty con,Trừ: Giảm do mua công ty con,(65.165.581),-,-65165581.0,
Trừ: Hoàn nhập dự phòng trong năm,Trừ: Hoàn nhập dự phòng trong năm,Trừ: Hoàn nhập dự phòng trong năm,(3.494.635),(103.377.433),-3494635.0,-103377433.0
Trừ: Giảm do thanh lý công ty con,Trừ: Giảm do thanh lý công ty con,Trừ: Giảm do thanh lý công ty con,-,(7.390.117),,-7390117.0
Số cuối năm,Số cuối năm,Số cuối năm,47.861.216,93.608.502,47861216.0,93608502.0
