row_label_raw,row_label_full,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai - CN Nhà Máy Nhựa Hoàng Anh Gia Lai,Công ty liên quan,Mua hàng hóa và dịch vụ,116.694.539,42.354.776,numeric__Công ty liên quan,numeric__Mua hàng hóa và dịch vụ,numeric__116.694.539,numeric__42.354.776
Công ty Cổ phần Bất Đông Sản An Phú,Công ty Cổ phần Bất Đông Sản An Phú,Công ty Cổ phần Bất Đông Sản An Phú,Công ty liên quan,Mua hàng hóa và dịch vụ,660.748,-,,,660748.0,
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Mua hàng hóa và dịch vụ,404.483,888.145,,,404483.0,888145.0
Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty liên quan,Mua hàng hóa và dịch vụ,15.000,-,,,15000.0,
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty con (từ ngày 10 tháng năm 2020),Mua hàng hóa,-,32.122.589,,,,32122589.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Bên liên quan,Mua hàng hóa,-,271.360,,,,271360.0
,,,,,117.774.770,75.636.870,,,117774770.0,75636870.0
