row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước(Trình bày lại - Thuyết minh số 38),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước(Trình bày lại - Thuyết minh số 38)
,,,I. LƯU CHUYẾN TIỀN TỰ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Lỗ kế toán trước thuế Điều chỉnh cho các khoản:,,(2.351.460.262),(2.005.333.634),,,-2351460262.0,-2005333634.0
02,02,02,Khấu hao và hao mòn (bao gồm phân bổ lợi thế thương mại),"11, 1213, 18",963.189.8451.614.455.830,1.207.452.901163.493.353,,,9.631898451614456e+18,1.2074529011634934e+18
03,03,03,Dự phòng(Lãi)/lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,,(72.723.455),58.008.292,,,-72723455.0,58008292.0
04,04,04,Dự phòng(Lãi)/lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,,(72.723.455),58.008.292,,,-72723455.0,58008292.0
05,05,05,Lãi từ hoạt động đầu tư,"16.1,28.2, 32",(1.053.097.065),(165.792.637),,,-1053097065.0,-165792637.0
06,06,06,Chi phí lãi vay,30,1.253.570.666,1.263.369.664,,30.0,1253570666.0,1263369664.0
07,07,07,Các điều chỉnh khác,30,16.172.109,17.989.666,,30.0,16172109.0,17989666.0
08,08,08,Lợi nhuận của hoạt động kinh doanh trước thay đổi vốn lưu động,,370.107.668,539.187.605,,,370107668.0,539187605.0
09,09,09,(Tăng)/giảm các khoản phải thu,,(821.286.302),77.839.787,,,-821286302.0,77839787.0
10,10,10,Tăng hàng tồn kho,,(430.250.325),(878.775.630),,,-430250325.0,-878775630.0
11,11,11,Tăng/(giảm) các khoản phải trả,,270.122.076,(1.251.702.503),,,270122076.0,-1251702503.0
12,12,12,(Tăng)/giảm chi phí trả trước,,(21.743.758),120.173.500,,,-21743758.0,120173500.0
14,14,14,Tiền lãi vay đã trả,,(1.130.267.163),(1.128.584.792),,,-1130267163.0,-1128584792.0
15,15,15,Thuế thu nhập doanh nghiệp đã nộp,33.1,(818.203),(12.947.293),,331.0,-818203.0,-12947293.0
17,17,17,Tiền chi khác cho hoạt động kinh doanh,,-,(2.767.027),,,,-2767027.0
20,20,20,Lưu chuyển tiền thuần sử dụng vào hoạt động kinh doanh,,(1.764.136.007),(2.537.576.353),,,-1764136007.0,-2537576353.0
,,,II. LƯU CHUYẾN TIỀN TỰ HOẠT ĐỘNG ĐẦU TỰ,,,,,,,
21,21,21,"Tiền chi để mua sắm, xây dựng TSCĐ và tài sản dài hạn khác",,(2.335.313.765),(4.679.597.082),,,-2335313765.0,-4679597082.0
22,22,22,"Tiền thu do thanh lý, nhượng bán TSCĐ và tài sản dài hạn khác",,2.653.633,1.492.108.659,,,2653633.0,1492108659.0
23,23,23,Tiền chi cho các đơn vị khác vay,,(820.994.359),(4.183.656.108),,,-820994359.0,-4183656108.0
24,24,24,Tiền thu hồi cho vay,,352.437.170,1.327.282.202,,,352437170.0,1327282202.0
25,25,25,"Tiền chi để đầu tư, góp vốn vào đơn vị khác",,(421.331.381),(708.435.715),,,-421331381.0,-708435715.0
26,26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,1.314.904.350,12.446.724.361,,,1314904350.0,12446724361.0
27,27,27,"Tiền thu lãi cho vay, tiền gửi, cổ tức và lợi nhuận được chia",,440.002.574,537.820.566,,,440002574.0,537820566.0
30,30,30,Lưu chuyển tiền thuần(sử dụng vào)/từ hoạt động đầu tư,,(1.467.641.778),6.232.246.883,,,-1467641778.0,6232246883.0
