row_label_raw,row_label_full,Số đầu năm,Năm nay > 4.122.902.838,Ngàn VNDNăm trước > 3.543.587.941,numeric__Năm nay > 4.122.902.838,numeric__Ngàn VNDNăm trước > 3.543.587.941
Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát của các công ty con,Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát của các công ty con,Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát của các công ty con,1.566.478.912,2.875.304.500,1566478912.0,2875304500.0
Lỗ trong năm phân bổ cho cổ đông không kiểm soát,Lỗ trong năm phân bổ cho cổ đông không kiểm soát,Lỗ trong năm phân bổ cho cổ đông không kiểm soát,(1.127.678.506),(2.025.322.017),-1127678506.0,-2025322017.0
Mua các công ty con,Mua các công ty con,Mua các công ty con,283.185.640,-,283185640.0,
Thanh lý công ty con,Thanh lý công ty con,Thanh lý công ty con,107.301.119,(264.516.161),107301119.0,-264516161.0
Cổ tức phải trả cho cổ đông không kiểm soát,Cổ tức phải trả cho cổ đông không kiểm soát,Cổ tức phải trả cho cổ đông không kiểm soát,-,(6.151.425),,-6151425.0
Khác,Khác,Khác,(2.857.758),-,-2857758.0,
Số cuối năm,Số cuối năm,Số cuối năm,4.949.332.245,4.122.902.838,4949332245.0,4122902838.0
