row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả tiền mượn từ các công ty và cá nhân (i),Ngắn hạn > Phải trả tiền mượn từ các công ty và cá nhân (i),Phải trả tiền mượn từ các công ty và cá nhân (i),1.237.044.380,552.181.894,1237044380.0,552181894.0
"Phải trả về hợp tác kinh doanh (""HĐHTKD"") (ii)","Ngắn hạn > Phải trả về hợp tác kinh doanh (""HĐHTKD"") (ii)","Phải trả về hợp tác kinh doanh (""HĐHTKD"") (ii)",104.112.630,36.000.000,104112630.0,36000000.0
Phải trả tiền thuê đất,Ngắn hạn > Phải trả tiền thuê đất,Phải trả tiền thuê đất,74.761.454,69.533.695,74761454.0,69533695.0
Phải trả các cá nhân khác,Ngắn hạn > Phải trả các cá nhân khác,Phải trả các cá nhân khác,3.958.621,4.360.195,3958621.0,4360195.0
Lợi nhuận HĐHTKD (iii),Ngắn hạn > Lợi nhuận HĐHTKD (iii),Lợi nhuận HĐHTKD (iii),-,17.989.667,,17989667.0
Khác,Ngắn hạn > Khác,Khác,55.905.206,240.273.905,55905206.0,240273905.0
,,,1.475.782.291,920.339.356,1475782291.0,920339356.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải trả tiền mượn từ các công ty và cá nhân (i),Dài hạn > Phải trả tiền mượn từ các công ty và cá nhân (i),Phải trả tiền mượn từ các công ty và cá nhân (i),335.560.739,173.220.900,335560739.0,173220900.0
Phải trả tiền thuê đất,Dài hạn > Phải trả tiền thuê đất,Phải trả tiền thuê đất,118.618.381,112.751.757,118618381.0,112751757.0
Phải trả về HĐHTKD (ii),Dài hạn > Phải trả về HĐHTKD (ii),Phải trả về HĐHTKD (ii),-,285.000.000,,285000000.0
,,,454.179.120,570.972.657,454179120.0,570972657.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.929.961.411,1.491.312.013,1929961411.0,1491312013.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả dài hạn các bên thứ ba,Trong đó: > Phải trả dài hạn các bên thứ ba,Phải trả dài hạn các bên thứ ba,1.455.779.809,931.188.996,1455779809.0,931188996.0
Phải trả ngắn hạn các bên liên quan (TM số 34),Trong đó: > Phải trả ngắn hạn các bên liên quan (TM số 34),Phải trả ngắn hạn các bên liên quan (TM số 34),237.823.684,275.123.017,237823684.0,275123017.0
Phải trả dài hạn các bên liên quan (TM số 34),Trong đó: > Phải trả dài hạn các bên liên quan (TM số 34),Phải trả dài hạn các bên liên quan (TM số 34),236.357.918,285.000.000,236357918.0,285000000.0
