row_label_raw,row_label_full,Số đầu năm > Cộng: Dự phòng trích lập trong năm,Năm nay > 871.402.471 > 28.590.567,Ngàn VNDNăm trước(Trình bày lại - Thuyết minh số 38) > 196.943.942 > 674.458.529,numeric__Năm nay > 871.402.471 > 28.590.567,numeric__Ngàn VNDNăm trước(Trình bày lại - Thuyết minh số 38) > 196.943.942 > 674.458.529
Trừ: Giảm do mua công ty con,Trừ: Giảm do mua công ty con,Trừ: Giảm do mua công ty con,(600.132.788),-,-600132788.0,
Trừ: Hoàn nhập dự phòng trong năm,Trừ: Hoàn nhập dự phòng trong năm,Trừ: Hoàn nhập dự phòng trong năm,(151.345.640),-,-151345640.0,
Số cuối năm,Số cuối năm,Số cuối năm,148.514.610,871.402.471,148514610.0,871402471.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Ngắn hạn,Trong đó: > Ngắn hạn,Ngắn hạn,146.045.254,154.114.714,146045254.0,154114714.0
Dài hạn,Trong đó: > Dài hạn,Dài hạn,2.469.356,717.287.757,2469356.0,717287757.0
