row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm (Trình bày lại - Thuyết minh số 38),numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm (Trình bày lại - Thuyết minh số 38)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Cho các công ty mượn,Ngắn hạn > Cho các công ty mượn,Cho các công ty mượn,340.705.172,316.503.405,340705172.0,316503405.0
Phải thu lãi cho vay,Ngắn hạn > Phải thu lãi cho vay,Phải thu lãi cho vay,149.701.808,54.427.339,149701808.0,54427339.0
Tạm ứng cho nhân viên,Ngắn hạn > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,56.520.295,53.757.197,56520295.0,53757197.0
Các khoản ký quỹ ngắn hạn,Ngắn hạn > Các khoản ký quỹ ngắn hạn,Các khoản ký quỹ ngắn hạn,-,3.000.000,,3000000.0
Phải thu ngắn hạn khác,Ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,16.811.314,39.335.969,16811314.0,39335969.0
,,,563.738.589,467.023.910,563738589.0,467023910.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Phải thu Hợp đồng Hợp tác Kinh doanh (""HĐHTKD"") (*)","Dài hạn > Phải thu Hợp đồng Hợp tác Kinh doanh (""HĐHTKD"") (*)","Phải thu Hợp đồng Hợp tác Kinh doanh (""HĐHTKD"") (*)",440.000.000,-,440000000.0,
Phải thu lãi cho vay,Dài hạn > Phải thu lãi cho vay,Phải thu lãi cho vay,71.044.947,735.099.245,71044947.0,735099245.0
Phải thu dài hạn khác,Dài hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,3.870.352,12.739.716,3870352.0,12739716.0
,,,514.915.299,747.838.961,514915299.0,747838961.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.078.653.888,1.214.862.871,1078653888.0,1214862871.0
Dự phòng phải thu khó đòi,Dài hạn > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(148.514.610),(871.402.471),-148514610.0,-871402471.0
GIÁ TRỊ THUÀN,Dài hạn > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,930.139.278,343.460.400,930139278.0,343460400.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu dài hạn các bên liên quan (TM số 34),Trong đó: > Phải thu dài hạn các bên liên quan (TM số 34),Phải thu dài hạn các bên liên quan (TM số 34),489.633.305,734.688.234,489633305.0,734688234.0
Phải thu ngắn hạn các bên liên quan (TM số 34),Trong đó: > Phải thu ngắn hạn các bên liên quan (TM số 34),Phải thu ngắn hạn các bên liên quan (TM số 34),201.218.629,268.744.714,201218629.0,268744714.0
Phải thu các bên thứ ba,Trong đó: > Phải thu các bên thứ ba,Phải thu các bên thứ ba,387.801.954,211.429.923,387801954.0,211429923.0
