row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Hoàn nhập các khoản trích trước,Thu nhập khác > Hoàn nhập các khoản trích trước,Hoàn nhập các khoản trích trước,26.924.870,-,26924870.0,
Lãi thanh lý tài sản,Thu nhập khác > Lãi thanh lý tài sản,Lãi thanh lý tài sản,-,593.673,,593673.0
Thu nhập khác,Thu nhập khác > Thu nhập khác,Thu nhập khác,71.223.595,41.983.453,71223595.0,41983453.0
,,,98.148.465,42.577.126,98148465.0,42577126.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Lỗ thanh lý tài sản,Chi phí khác > Lỗ thanh lý tài sản,Lỗ thanh lý tài sản,184.949.729,42.915.974,184949729.0,42915974.0
Chi phí xóa số TSCĐ,Chi phí khác > Chi phí xóa số TSCĐ,Chi phí xóa số TSCĐ,63.464.100,209.177.686,63464100.0,209177686.0
Khấu hao tài sản ngưng sử dụng,Chi phí khác > Khấu hao tài sản ngưng sử dụng,Khấu hao tài sản ngưng sử dụng,62.455.980,44.549.697,62455980.0,44549697.0
Chi phí chuyển đổi vườn cây,Chi phí khác > Chi phí chuyển đổi vườn cây,Chi phí chuyển đổi vườn cây,56.168.520,1.121.090.800,56168520.0,1121090800.0
Các khoản phạt,Chi phí khác > Các khoản phạt,Các khoản phạt,30.101.552,30.834.638,30101552.0,30834638.0
Chi phí hỗ trợ HĐHTKD,Chi phí khác > Chi phí hỗ trợ HĐHTKD,Chi phí hỗ trợ HĐHTKD,-,185.750.000,,185750000.0
Hoàn nhập Nghị định 20 (*),Chi phí khác > Hoàn nhập Nghị định 20 (*),Hoàn nhập Nghị định 20 (*),-,(335.292.885),,-335292885.0
Các khoản khác,Chi phí khác > Các khoản khác,Các khoản khác,30.344.526,81.114.420,30344526.0,81114420.0
,,,427.484.407,1.380.140.330,427484407.0,1380140330.0
Lỗ KHÁC,Chi phí khác > Lỗ KHÁC,Lỗ KHÁC,(329.335.942),(1.337.563.204),-329335942.0,-1337563204.0
