row_label_raw,row_label_full,col_0,Ngàn VND,Ngàn VND_1,numeric__Ngàn VND,numeric__Ngàn VND_1
,,,Năm nay,Năm trước(Trình bày lại -Thuyết minh số 38),,
Tổng lỗ kế toán trước thuế,Tổng lỗ kế toán trước thuế,Tổng lỗ kế toán trước thuế,(2.351.460.262),(2.005.333.634),-2351460262.0,-2005333634.0
Các khoản điều chỉnh tăng/(giảm),Các khoản điều chỉnh tăng/(giảm),Các khoản điều chỉnh tăng/(giảm),,,,
Điều chỉnh tăng:,Điều chỉnh tăng:,Điều chỉnh tăng:,,,,
Các khoản lỗ từ các công ty con,Điều chỉnh tăng: > Các khoản lỗ từ các công ty con,Các khoản lỗ từ các công ty con,1.733.734.243,4.096.620.067,1733734243.0,4096620067.0
Chi phí phân bổ lợi thế thương mại,Điều chỉnh tăng: > Chi phí phân bổ lợi thế thương mại,Chi phí phân bổ lợi thế thương mại,207.626.658,315.937.136,207626658.0,315937136.0
Mức trần chi phí lãi vay (*),Điều chỉnh tăng: > Mức trần chi phí lãi vay (*),Mức trần chi phí lãi vay (*),279.551.379,(245.284.501),279551379.0,-245284501.0
Chi phí lãi vay nội bộ ở khía cạnh hợp nhất,Điều chỉnh tăng: > Chi phí lãi vay nội bộ ở khía cạnh hợp nhất,Chi phí lãi vay nội bộ ở khía cạnh hợp nhất,129.860.293,82.805.391,129860293.0,82805391.0
Lỗ/(lợi nhuận) chưa thực hiện trên hợp nhất,Điều chỉnh tăng: > Lỗ/(lợi nhuận) chưa thực hiện trên hợp nhất,Lỗ/(lợi nhuận) chưa thực hiện trên hợp nhất,10.040.074,(120.353.558),10040074.0,-120353558.0
Lãi từ thanh lý các công ty con ở khía cạnh hợp nhất,Điều chỉnh tăng: > Lãi từ thanh lý các công ty con ở khía cạnh hợp nhất,Lãi từ thanh lý các công ty con ở khía cạnh hợp nhất,(476.321.574),(2.805.287.927),-476321574.0,-2805287927.0
Cấn trừ lỗ năm trước,Điều chỉnh tăng: > Cấn trừ lỗ năm trước,Cấn trừ lỗ năm trước,(224.242.016),(23.903.208),-224242016.0,-23903208.0
(Dự phòng)/hoàn nhập dự phòngcác khoản đầu tư,Điều chỉnh tăng: > (Dự phòng)/hoàn nhập dự phòngcác khoản đầu tư,(Dự phòng)/hoàn nhập dự phòngcác khoản đầu tư,(171.828.441),483.220.642,-171828441.0,483220642.0
Lợi nhuận từ hoạt động miễn thuế,Điều chỉnh tăng: > Lợi nhuận từ hoạt động miễn thuế,Lợi nhuận từ hoạt động miễn thuế,(134.603.088),(32.681.914),-134603088.0,-32681914.0
Lãi từ các công ty liên kết,Điều chỉnh tăng: > Lãi từ các công ty liên kết,Lãi từ các công ty liên kết,(8.767.467),(12.562.347),-8767467.0,-12562347.0
Các khoản chi phí không được trừ và các khoản khác,Điều chỉnh tăng: > Các khoản chi phí không được trừ và các khoản khác,Các khoản chi phí không được trừ và các khoản khác,1.022.357.603,283.888.316,1022357603.0,283888316.0
Thu nhập chịu thuế ước tính trong nằm hiện hành,Điều chỉnh tăng: > Thu nhập chịu thuế ước tính trong nằm hiện hành,Thu nhập chịu thuế ước tính trong nằm hiện hành,15.947.402,17.064.463,15947402.0,17064463.0
Thuế TNDN ước tính trong nằm hiện hành,Điều chỉnh tăng: > Thuế TNDN ước tính trong nằm hiện hành,Thuế TNDN ước tính trong nằm hiện hành,3.439.878,4.300.785,3439878.0,4300785.0
Điều chỉnh thuế TNDN trích thiếu năm trước,Điều chỉnh tăng: > Điều chỉnh thuế TNDN trích thiếu năm trước,Điều chỉnh thuế TNDN trích thiếu năm trước,1.111,440.861,1111.0,440861.0
"Thuế thu nhập doanh nghiệp được miễn, giảm","Điều chỉnh tăng: > Thuế thu nhập doanh nghiệp được miễn, giảm","Thuế thu nhập doanh nghiệp được miễn, giảm",-,(2.488.156),,-2488156.0
Chi phí thuế TNDN hiện hành ước tính,Điều chỉnh tăng: > Chi phí thuế TNDN hiện hành ước tính,Chi phí thuế TNDN hiện hành ước tính,3.440.989,2.253.490,3440989.0,2253490.0
Thuế TNDN phải trả đầu năm,Điều chỉnh tăng: > Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,19.677.263,29.128.714,19677263.0,29128714.0
Phân loại lại,Điều chỉnh tăng: > Phân loại lại,Phân loại lại,-,1.242.352,,1242352.0
Thuế TNDN đã trả trong năm (TM số 21),Điều chỉnh tăng: > Thuế TNDN đã trả trong năm (TM số 21),Thuế TNDN đã trả trong năm (TM số 21),(818.203),(12.947.293),-818203.0,-12947293.0
Thuế TNDN phải trả cuối năm,Điều chỉnh tăng: > Thuế TNDN phải trả cuối năm,Thuế TNDN phải trả cuối năm,22.300.049,19.677.263,22300049.0,19677263.0
Trong đó:,Trong đó:,Trong đó:,,,,
Thuế TNDN phải trả (TM số 21),Trong đó: > Thuế TNDN phải trả (TM số 21),Thuế TNDN phải trả (TM số 21),22.593.419,19.970.633,22593419.0,19970633.0
Thuế TNDN trả trước (TM số 21),Trong đó: > Thuế TNDN trả trước (TM số 21),Thuế TNDN trả trước (TM số 21),(293.370),(293.370),-293370.0,-293370.0
