row_label_raw,row_label_full,col_0,Mối quan hệ,numeric__Mối quan hệ
Công ty TNHH Sản xuất – Thương mại – Dịch vụ Đồng Phú Hưng,Công ty TNHH Sản xuất – Thương mại – Dịch vụ Đồng Phú Hưng,Công ty TNHH Sản xuất – Thương mại – Dịch vụ Đồng Phú Hưng,Công ty con,
Công ty CP Đầu tư & KD Bất động sản ĐLGL,Công ty CP Đầu tư & KD Bất động sản ĐLGL,Công ty CP Đầu tư & KD Bất động sản ĐLGL,Công ty con,
Công ty CP BOT & BT Đức Long Đắk Nông,Công ty CP BOT & BT Đức Long Đắk Nông,Công ty CP BOT & BT Đức Long Đắk Nông,Công ty con,
Công ty CP BOT & BT Đức Long Gia Lai,Công ty CP BOT & BT Đức Long Gia Lai,Công ty CP BOT & BT Đức Long Gia Lai,Công ty con,
Công ty Cổ phần Nẵng lượng Tân Thượng,Công ty Cổ phần Nẵng lượng Tân Thượng,Công ty Cổ phần Nẵng lượng Tân Thượng,Công ty con,
Công ty TNHH Nông nghiệp Đức Long Gia Lai,Công ty TNHH Nông nghiệp Đức Long Gia Lai,Công ty TNHH Nông nghiệp Đức Long Gia Lai,Công ty con,
Công ty Cổ phần Đức Long Đà Nẵng,Công ty Cổ phần Đức Long Đà Nẵng,Công ty Cổ phần Đức Long Đà Nẵng,Công ty con,
Công ty Mass Noble Investment Limited,Công ty Mass Noble Investment Limited,Công ty Mass Noble Investment Limited,Công ty con,
Công ty Shine Profit development Limited,Công ty Shine Profit development Limited,Công ty Shine Profit development Limited,Công ty con của Công ty Mass Noble Investment Limited,
Công ty TNHH Cung ứng Vật tư NL Tây Nguyên,Công ty TNHH Cung ứng Vật tư NL Tây Nguyên,Công ty TNHH Cung ứng Vật tư NL Tây Nguyên,Công ty liên kết,
Công ty CP Tư vấn Xây dựng Giao thông Gia Lai,Công ty CP Tư vấn Xây dựng Giao thông Gia Lai,Công ty CP Tư vấn Xây dựng Giao thông Gia Lai,Công ty liên kết,
Công ty Cổ phần Điện mặt trời DLG Ninh Thuận,Công ty Cổ phần Điện mặt trời DLG Ninh Thuận,Công ty Cổ phần Điện mặt trời DLG Ninh Thuận,Công ty liên kết,
Công ty CP Dịch vụ công cộng Đức Long Bảo Lộc,Công ty CP Dịch vụ công cộng Đức Long Bảo Lộc,Công ty CP Dịch vụ công cộng Đức Long Bảo Lộc,Công ty nhận đầu tư,
Công ty CP Đầu tư & Xây dựng Đức Long Gia Lai,Công ty CP Đầu tư & Xây dựng Đức Long Gia Lai,Công ty CP Đầu tư & Xây dựng Đức Long Gia Lai,Công ty nhận đầu tư,
Công ty TNHH Đức Long Dung Quất,Công ty TNHH Đức Long Dung Quất,Công ty TNHH Đức Long Dung Quất,Chung chủ tịch HĐQT,
Công ty CP Đầu tư & Phát triển DVCT CC ĐLGL,Công ty CP Đầu tư & Phát triển DVCT CC ĐLGL,Công ty CP Đầu tư & Phát triển DVCT CC ĐLGL,Chung cổ đông lớn,
Công ty CP Đầu Tư - Xây Dựng Vạn Gia Long,Công ty CP Đầu Tư - Xây Dựng Vạn Gia Long,Công ty CP Đầu Tư - Xây Dựng Vạn Gia Long,Công ty con của Công ty CP Đầu tư & Phát triển DVCT CC ĐLGL– chung cổ đông lớn với Công ty,
Công ty TNHH Phú Thành Gia Pleiku,Công ty TNHH Phú Thành Gia Pleiku,Công ty TNHH Phú Thành Gia Pleiku,Công ty con của Công ty CP Đầu tư & Phát triển DVCT CC ĐLGL– chung cổ đông lớn với Công ty,
