row_label_raw,row_label_full,col_0,Quyền sử dụng đất (*),"Nhà cửa, vật kiến trúc",Cộng,numeric__Quyền sử dụng đất (*),"numeric__Nhà cửa, vật kiến trúc",numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,75.783.417.973,145.360.574.671,221.143.992.644,75783417973.0,145360574671.0,221143992644.0
Tăng trong kỳ,Tăng trong kỳ,Tăng trong kỳ,-,-,-,,,
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,,,
Số cuối kỳ,"Thanh lý, nhượng bán > Số cuối kỳ",Số cuối kỳ,75.783.417.973,145.360.574.671,221.143.992.644,75783417973.0,145360574671.0,221143992644.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Số đầu kỳ,Khấu hao lũy kế > Số đầu kỳ,Số đầu kỳ,-,28.878.846.268,28.878.846.268,,28878846268.0,28878846268.0
Khấu hao trong kỳ,Khấu hao lũy kế > Khấu hao trong kỳ,Khấu hao trong kỳ,-,5.222.232.180,5.222.232.180,,5222232180.0,5222232180.0
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,,,
Số cuối kỳ,"Thanh lý, nhượng bán > Số cuối kỳ",Số cuối kỳ,-,34.101.078.448,34.101.078.448,,34101078448.0,34101078448.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,75.783.417.973,116.481.728.403,192.265.146.376,75783417973.0,116481728403.0,192265146376.0
Số đánh giá lại cuối kỳ,Giá trị còn lại > Số đánh giá lại cuối kỳ,Số đánh giá lại cuối kỳ,75.783.417.973,111.259.496.223,187.042.914.196,75783417973.0,111259496223.0,187042914196.0
