row_label_raw,row_label_full,31/12/2018,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Phải trả người bán,Phải trả người bán,Phải trả người bán,219.428.683.968,-,219.428.683.968,219428683968.0,,219428683968.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,90.681.771.183,-,90.681.771.183,90681771183.0,,90681771183.0
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,1.017.954.776.781,516.603.421.404,1.534.558.198.185,1017954776781.0,516603421404.0,1534558198185.0
Phải trả khác,Phải trả khác,Phải trả khác,153.527.349.015,4.090.000.000,157.617.349.015,153527349015.0,4090000000.0,157617349015.0
Cộng,Cộng,Cộng,1.481.592.580.947,520.693.421.404,2.002.286.002.351,1481592580947.0,520693421404.0,2002286002351.0
01/01/2018,01/01/2018,01/01/2018,Không quá 1 năm,Trên 1 năm,Tổng,,,
Phải trả người bán,01/01/2018 > Phải trả người bán,Phải trả người bán,216.531.011.802,-,216.531.011.802,216531011802.0,,216531011802.0
Chi phí phải trả,01/01/2018 > Chi phí phải trả,Chi phí phải trả,101.091.642.227,-,101.091.642.227,101091642227.0,,101091642227.0
Vay và nợ thuê tài chính,01/01/2018 > Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,765.263.593.636,877.494.905.140,1.642.758.498.776,765263593636.0,877494905140.0,1642758498776.0
Phải trả khác,01/01/2018 > Phải trả khác,Phải trả khác,130.694.082.609,4.000.000.000,134.694.082.609,130694082609.0,4000000000.0,134694082609.0
Cộng,01/01/2018 > Cộng,Cộng,1.213.580.330.274,881.494.905.140,2.095.075.235.414,1213580330274.0,881494905140.0,2095075235414.0
