row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,25.452.851.270,317.684.000,25.770.535.270,25452851270.0,317684000.0,25770535270.0
Tăng trong kỳ,Tăng trong kỳ,Tăng trong kỳ,-,-,-,,,
"Thanh lý, nhượng bán","Tăng trong kỳ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",12.978.579.155,-,12.978.579.155,12978579155.0,,12978579155.0
Số cuối kỳ,Tăng trong kỳ > Số cuối kỳ,Số cuối kỳ,12.474.272.115,317.684.000,12.791.956.115,12474272115.0,317684000.0,12791956115.0
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,,
Số đầu kỳ,Khấu hao > Số đầu kỳ,Số đầu kỳ,-,275.035.571,275.035.571,,275035571.0,275035571.0
Khấu hao trong kỳ,Khấu hao > Khấu hao trong kỳ,Khấu hao trong kỳ,-,11.646.634,11.646.634,,11646634.0,11646634.0
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,,,
Số cuối kỳ,"Thanh lý, nhượng bán > Số cuối kỳ",Số cuối kỳ,-,286.682.205,286.682.205,,286682205.0,286682205.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,25.452.851.270,42.648.429,25.495.499.699,25452851270.0,42648429.0,25495499699.0
Số cuối kỳ,Giá trị còn lại > Số cuối kỳ,Số cuối kỳ,12.474.272.115,31.001.795,12.505.273.910,12474272115.0,31001795.0,12505273910.0
