row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,P.tiện vận tảitruyền dẫn,"Thiết bị, dụngcụ quản lý",Vườn câylâu năm,Tài sản cố địnhkhác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__P.tiện vận tảitruyền dẫn,"numeric__Thiết bị, dụngcụ quản lý",numeric__Vườn câylâu năm,numeric__Tài sản cố địnhkhác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,238.208.739.066,11.172.554.390,14.595.666.484,539.858.200,-,1.942.805.303,266.459.623.443,238208739066.0,11172554390.0,14595666484.0,539858200.0,,1942805303.0,266459623443.0
Mua sắm trong kỳ,Nguyên giá > Mua sắm trong kỳ,Mua sắm trong kỳ,-,-,-,149.090.909,-,-,149.090.909,,,,149090909.0,,,149090909.0
Chuyển từ TP BDS sang,Nguyên giá > Chuyển từ TP BDS sang,Chuyển từ TP BDS sang,19.332.309.132,-,-,-,-,-,19.332.309.132,19332309132.0,,,,,,19332309132.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,-,-,-,-,175.885.082.455,-,175.885.082.455,,,,,175885082455.0,,175885082455.0
"T/lý, nhượng bán","T/lý, nhượng bán","T/lý, nhượng bán",-,-,-,-,-,-,-,,,,,,,
Số cuối kỳ,"T/lý, nhượng bán > Số cuối kỳ",Số cuối kỳ,257.541.048.198,11.172.554.390,14.595.666.484,688.949.109,175.885.082.455,1.942.805.303,461.826.105.939,257541048198.0,11172554390.0,14595666484.0,688949109.0,175885082455.0,1942805303.0,461826105939.0
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,,,,,,
Số đầu kỳ,Khấu hao > Số đầu kỳ,Số đầu kỳ,14.985.074.407,7.512.217.983,12.048.666.333,388.332.439,-,195.928.405,35.130.219.567,14985074407.0,7512217983.0,12048666333.0,388332439.0,,195928405.0,35130219567.0
Khấu hao trong kỳ,Khấu hao > Khấu hao trong kỳ,Khấu hao trong kỳ,8.052.618.875,625.951.204,488.539.458,74.777.773,268.713.320,195.928.404,9.706.529.034,8052618875.0,625951204.0,488539458.0,74777773.0,268713320.0,195928404.0,9706529034.0
"T/lý, nhượng bán","T/lý, nhượng bán","T/lý, nhượng bán",-,-,-,-,-,-,-,,,,,,,
Số cuối kỳ,"T/lý, nhượng bán > Số cuối kỳ",Số cuối kỳ,23.037.693.282,8.138.169.187,12.537.205.791,463.110.212,268.713.320,391.856.809,44.836.748.601,23037693282.0,8138169187.0,12537205791.0,463110212.0,268713320.0,391856809.0,44836748601.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,223.223.664.659,3.660.336.407,2.547.000.151,151.525.761,-,1.746.876.898,231.329.403.876,223223664659.0,3660336407.0,2547000151.0,151525761.0,,1746876898.0,231329403876.0
Số cuối kỳ,Giá trị còn lại > Số cuối kỳ,Số cuối kỳ,234.503.354.916,3.034.385.203,2.058.460.693,225.838.897,175.616.369.135,1.550.948.494,416.989.357.338,234503354916.0,3034385203.0,2058460693.0,225838897.0,175616369135.0,1550948494.0,416989357338.0
