row_label_raw,row_label_full,col_0,Nội dung,Năm 2018,Năm 2017,numeric__Nội dung,numeric__Năm 2018,numeric__Năm 2017
"Mua hàng, nhận dịch vụ","Mua hàng, nhận dịch vụ","Mua hàng, nhận dịch vụ","Mua hàng, nhận dịch vụ","Mua hàng, nhận dịch vụ","Mua hàng, nhận dịch vụ",,,
Công ty Shine Profit development Limited,"Mua hàng, nhận dịch vụ > Công ty Shine Profit development Limited",Công ty Shine Profit development Limited,Mua linh kiện điện tử,121.773.642.254,265.498.600.081,,121773642254.0,265498600081.0
Công ty CP Đầu tư & Phát triển DVCT CC ĐLGL,"Mua hàng, nhận dịch vụ > Công ty CP Đầu tư & Phát triển DVCT CC ĐLGL",Công ty CP Đầu tư & Phát triển DVCT CC ĐLGL,Thuê tài sản,381.818.184,381.818.184,,381818184.0,381818184.0
Công ty CP Đầu tư & Phát triển DVCT CC ĐLGL,"Mua hàng, nhận dịch vụ > Công ty CP Đầu tư & Phát triển DVCT CC ĐLGL",Công ty CP Đầu tư & Phát triển DVCT CC ĐLGL,Mua khoản đầu tư,217.331.180.000,-,,217331180000.0,
Công ty TNHH Phú Thành Gia Pleiku,"Mua hàng, nhận dịch vụ > Công ty TNHH Phú Thành Gia Pleiku",Công ty TNHH Phú Thành Gia Pleiku,Mua đá các loại,42.269.496.000,144.325.163.500,,42269496000.0,144325163500.0
Công ty TNHH Phú Thành Gia Pleiku,"Mua hàng, nhận dịch vụ > Công ty TNHH Phú Thành Gia Pleiku",Công ty TNHH Phú Thành Gia Pleiku,Thi công công trình,19.235.724.545,1.072.700.000,,19235724545.0,1072700000.0
Các giao dịch khác,Các giao dịch khác,Các giao dịch khác,Các giao dịch khác,Các giao dịch khác,Các giao dịch khác,,,
Công ty TNHH SX – TM – DV Đồng Phú Hưng,Các giao dịch khác > Công ty TNHH SX – TM – DV Đồng Phú Hưng,Công ty TNHH SX – TM – DV Đồng Phú Hưng,Lãi cho vay,846.520.548,-,,846520548.0,
Công ty CP Đầu tư & Xây dựng Đức Long Gia Lai,Các giao dịch khác > Công ty CP Đầu tư & Xây dựng Đức Long Gia Lai,Công ty CP Đầu tư & Xây dựng Đức Long Gia Lai,Lãi cho vay,15.371.607.444,18.875.631.972,,15371607444.0,18875631972.0
Công ty CP Đầu tư & KD Bất động sản ĐLGL,Các giao dịch khác > Công ty CP Đầu tư & KD Bất động sản ĐLGL,Công ty CP Đầu tư & KD Bất động sản ĐLGL,Lãi cho vay,404.370.822,38.461.111,,404370822.0,38461111.0
Công ty Cổ phần Năng lượng Tân Thượng,Các giao dịch khác > Công ty Cổ phần Năng lượng Tân Thượng,Công ty Cổ phần Năng lượng Tân Thượng,Lãi vay phải trả,778.657.000,-,,778657000.0,
Công ty CP BOT & BT Đức Long Gia Lai,Các giao dịch khác > Công ty CP BOT & BT Đức Long Gia Lai,Công ty CP BOT & BT Đức Long Gia Lai,Lãi vay phải trả,2.287.164.465,4.332.363.236,,2287164465.0,4332363236.0
Công ty CP BOT & BT Đức Long Đắk Nông,Các giao dịch khác > Công ty CP BOT & BT Đức Long Đắk Nông,Công ty CP BOT & BT Đức Long Đắk Nông,Lãi vay phải trả,2.521.093.319,3.491.935.477,,2521093319.0,3491935477.0
Công ty TNHH Phú Thành Gia Pleiku,Các giao dịch khác > Công ty TNHH Phú Thành Gia Pleiku,Công ty TNHH Phú Thành Gia Pleiku,Lãi vay phải trả,11.956.869.050,-,,11956869050.0,
Công ty CP Đầu Tư - Xây dựng Vạn Gia Long,Các giao dịch khác > Công ty CP Đầu Tư - Xây dựng Vạn Gia Long,Công ty CP Đầu Tư - Xây dựng Vạn Gia Long,Lãi vay phải trả,288.724.110,-,,288724110.0,
Công ty CP Tư vấn Xây dựng Giao thông Gia Lai,Các giao dịch khác > Công ty CP Tư vấn Xây dựng Giao thông Gia Lai,Công ty CP Tư vấn Xây dựng Giao thông Gia Lai,Cổ tức được nhận,225.036.000,207.270.000,,225036000.0,207270000.0
