row_label_raw,row_label_full,col_0,31/12/2018 > Giá trị,31/12/2018 > Dự phòng,01/01/2018 > Giá trị,01/01/2018 > Dự phòng,numeric__31/12/2018 > Giá trị,numeric__31/12/2018 > Dự phòng,numeric__01/01/2018 > Giá trị,numeric__01/01/2018 > Dự phòng
Phải thu về lãi cho vay,Phải thu về lãi cho vay,Phải thu về lãi cho vay,141.337.074.667,(974.653.388),88.277.192.486,(974.653.388),141337074667.0,-974653388.0,88277192486.0,-974653388.0
- Công ty CP Trồng rừng & Cây CN ĐLGL,- Công ty CP Trồng rừng & Cây CN ĐLGL,- Công ty CP Trồng rừng & Cây CN ĐLGL,45.603.579.249,-,34.119.526.582,-,45603579249.0,,34119526582.0,
- DNTN DL Lữ hành & ĐT Xây dựng NHHTC,- DNTN DL Lữ hành & ĐT Xây dựng NHHTC,- DNTN DL Lữ hành & ĐT Xây dựng NHHTC,974.653.388,(974.653.388),974.653.388,(974.653.388),974653388.0,-974653388.0,974653388.0,-974653388.0
- Công ty TNHH MTV Việt Gia Phát,- Công ty TNHH MTV Việt Gia Phát,- Công ty TNHH MTV Việt Gia Phát,21.173.297.438,-,12.730.194.454,-,21173297438.0,,12730194454.0,
- Công ty CP Đầu tư và Xây dựng ĐLGL,- Công ty CP Đầu tư và Xây dựng ĐLGL,- Công ty CP Đầu tư và Xây dựng ĐLGL,15.502.239.416,-,130.631.972,-,15502239416.0,,130631972.0,
- Nguyễn Tân Tiến,- Nguyễn Tân Tiến,- Nguyễn Tân Tiến,28.168.769.440,-,16.522.740.586,-,28168769440.0,,16522740586.0,
- Các đối tượng khác,- Các đối tượng khác,- Các đối tượng khác,29.914.535.736,-,23.799.445.504,-,29914535736.0,,23799445504.0,
Tạm ứng,Tạm ứng,Tạm ứng,5.579.140.203,-,5.163.286.506,(67.479.236),5579140203.0,,5163286506.0,-67479236.0
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",131.137.800,-,131.137.800,-,131137800.0,,131137800.0,
Lãi dự thu tiền gửi có kỳ hạn,Lãi dự thu tiền gửi có kỳ hạn,Lãi dự thu tiền gửi có kỳ hạn,-,-,795.522.881,-,,,795522881.0,
Phải thu khác,Phải thu khác,Phải thu khác,6.486.252.578,(5.346.471.646),7.200.946.446,(1.962.145.407),6486252578.0,-5346471646.0,7200946446.0,-1962145407.0
Cộng,Cộng,Cộng,153.533.605.248,(6.321.125.034),101.568.086.119,(3.004.278.031),153533605248.0,-6321125034.0,101568086119.0,-3004278031.0
