row_label_raw,row_label_full,Stt,Tên Công ty,Vốn điều lệ của các Công ty nhận đầu tư VND,Trong đó: Công ty cam kết góp: > Tỷ lệ %,Trong đó: Công ty cam kết góp: > Vốn cam kết góp VND,Vốn góp thực tế của Công ty đến ngày 31/12/2018 VND,Vốn góp thiếu VND,numeric__Tên Công ty,numeric__Vốn điều lệ của các Công ty nhận đầu tư VND,numeric__Trong đó: Công ty cam kết góp: > Tỷ lệ %,numeric__Trong đó: Công ty cam kết góp: > Vốn cam kết góp VND,numeric__Vốn góp thực tế của Công ty đến ngày 31/12/2018 VND,numeric__Vốn góp thiếu VND
I.,I.,I.,Các Công ty con,2.467.681.831.456,,2.045.191.695.508,1.848.371.465.508,196.820.230.000,,2467681831456.0,,2045191695508.0,1848371465508.0,196820230000.0
1.,1.,1.,Công ty TNHH SX - TM - DV Đồng Phú Hưng,200.000.000.000,"98,79%",197.573.800.000,197.573.800.000,-,,200000000000.0,0.9879000000000001,197573800000.0,197573800000.0,
2.,2.,2.,Công ty CP ĐT và KD Bắt động sản DLGL,601.000.000.000,"84,03%",505.000.000.000,505.000.000.000,-,,601000000000.0,0.8403,505000000000.0,505000000000.0,
3.,3.,3.,Công ty CP BOT và BT Đức Long Đắk Nông,250.000.000.000,"70,60%",176.500.000.000,176.500.000.000,-,,250000000000.0,0.706,176500000000.0,176500000000.0,
4.,4.,4.,Công ty CP BOT và BT Đức Long Gia Lai,270.000.000.000,"60,00%",162.000.000.000,149.800.000.000,12.200.000.000,,270000000000.0,0.6,162000000000.0,149800000000.0,12200000000.0
5.,5.,5.,Công ty TNHH Nông nghiệp Đức Long GL,360.500.000.000,"99,86%",360.000.000.000,247.900.070.000,112.099.930.000,,360500000000.0,0.9986,360000000000.0,247900070000.0,112099930000.0
6.,6.,6.,Công ty CP Đức Long Đà Nẵng,75.000.000.000,"99,33%",74.500.000.000,1.979.700.000,72.520.300.000,,75000000000.0,0.9933,74500000000.0,1979700000.0,72520300000.0
7.,7.,7.,Công ty CP Năng lượng Tân Thượng,155.000.000.000,"88,00%",136.400.000.000,136.400.000.000,-,,155000000000.0,0.88,136400000000.0,136400000000.0,
8.,8.,8.,Công ty Mass Noble Investment Limited,320.062.401.456,"97,73%",312.796.985.508,312.796.985.508,-,,320062401456.0,0.9773000000000001,312796985508.0,312796985508.0,
9.,9.,9.,Công ty Cổ phần Cà phê Gia Lai,146.763.000.000,"51,00%",74.849.130.000,74.849.130.000,-,,146763000000.0,0.51,74849130000.0,74849130000.0,
10.,10.,10.,Công ty Cổ phần Chè Biển Hồ,89.356.430.000,"51,00%",45.571.780.000,45.571.780.000,-,,89356430000.0,0.51,45571780000.0,45571780000.0,
II.,II.,II.,Các Công ty liên kết,170.241.000.000,,45.504.200.000,21.176.200.000,24.328.000.000,,170241000000.0,,45504200000.0,21176200000.0,24328000000.0
1.,1.,1.,Công ty TNHH Cung ứng VT NL Tây Nguyên,60.000.000.000,"33,33%",20.000.000.000,20.000.000.000,-,,60000000000.0,0.3333,20000000000.0,20000000000.0,
2.,2.,2.,Công ty CP Tư vấn và Xây dựng GT Gia Lai,2.961.000.000,"20,00%",592.200.000,592.200.000,-,,2961000000.0,0.2,592200000.0,592200000.0,
3.,3.,3.,Công ty CP Đức Long Tây Nguyên,15.000.000.000,"40,00%",6.000.000.000,-,6.000.000.000,,15000000000.0,0.4,6000000000.0,,6000000000.0
4.,4.,4.,Công ty CP DLG CY Việt Nam,2.280.000.000,"40,00%",912.000.000,-,912.000.000,,2280000000.0,0.4,912000000.0,,912000000.0
5.,5.,5.,Công ty CP Điện mặt trời DLG Ninh Thuận,90.000.000.000,"20,00%",18.000.000.000,584.000.000,17.416.000.000,,90000000000.0,0.2,18000000000.0,584000000.0,17416000000.0
III.,III.,III.,Các Công ty đầu tư dài hạn,114.000.000.000,,1.500.000.000,1.500.000.000,-,,114000000000.0,,1500000000.0,1500000000.0,
1.,1.,1.,Công ty CP DVCC Đức Long Báo Lộc,12.000.000.000,"4,00%",480.000.000,480.000.000,-,,12000000000.0,0.04,480000000.0,480000000.0,
2.,2.,2.,Công ty CP DT & Xây dựng DLGL,102.000.000.000,"1,00%",1.020.000.000,1.020.000.000,-,,102000000000.0,0.01,1020000000.0,1020000000.0,
Cộng,Cộng,Cộng,Cộng,2.751.922.831.456,,2.092.195.895.508,1.871.047.665.508,221.148.230.000,,2751922831456.0,,2092195895508.0,1871047665508.0,221148230000.0
