row_label_raw,row_label_full,Máy móc thiết bị,05 – 20,numeric__05 – 20
"Phương tiện vận tải, truyền dẫn","Phương tiện vận tải, truyền dẫn","Phương tiện vận tải, truyền dẫn",08 – 10,
"Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý",03 – 05,
Vườn cây lâu năm,"Thiết bị, dụng cụ quản lý > Vườn cây lâu năm",Vườn cây lâu năm,20,20.0
Tài sản cố định hữu hình khác,Tài sản cố định hữu hình khác,Tài sản cố định hữu hình khác,08 – 10,
