row_label_raw,row_label_full,Tiền thu được từ phát hành cổ phần mới theo chương trình lựa chọn cho người lao động (“ESOP”) năm 2023,31/12/2023VND > 130.745.840.000,1/1/2023VND > -,numeric__31/12/2023VND > 130.745.840.000,numeric__1/1/2023VND > -
Quỹ khen thưởng cho Hội đồng Quản trị và Ban Điều hành (*),Quỹ khen thưởng cho Hội đồng Quản trị và Ban Điều hành (*),Quỹ khen thưởng cho Hội đồng Quản trị và Ban Điều hành (*),36.683.186.925,11.418.221.742,36683186925.0,11418221742.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,5.432.318.407,161.676.227.507,5432318407.0,161676227507.0
"Công ty TNHH Một Thành viên Thời trang CAO, công ty con","Công ty TNHH Một Thành viên Thời trang CAO, công ty con","Công ty TNHH Một Thành viên Thời trang CAO, công ty con",-,3.362.089.022,,3362089022.0
Thuế thu nhập cá nhân nộp thay cho các cổ đông,Thuế thu nhập cá nhân nộp thay cho các cổ đông,Thuế thu nhập cá nhân nộp thay cho các cổ đông,4.531.133.392,4.531.133.392,4531133392.0,4531133392.0
Chi phí bảo hiểm và kinh phí Công đoàn,Chi phí bảo hiểm và kinh phí Công đoàn,Chi phí bảo hiểm và kinh phí Công đoàn,2.268.138.954,2.390.882.094,2268138954.0,2390882094.0
Phải trả khác,Phải trả khác,Phải trả khác,20.524.079.442,13.163.485.607,20524079442.0,13163485607.0
,,,200.184.697.120,196.542.039.364,200184697120.0,196542039364.0
