row_label_raw,row_label_full,col_0,Quyền sử dụng đất (*) VND,Phần mềm máy vi tính VND,Tổng VND,numeric__Quyền sử dụng đất (*) VND,numeric__Phần mềm máy vi tính VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,557.784.111.372,148.155.630.976,705.939.742.348,557784111372.0,148155630976.0,705939742348.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,34.118.796,189.694.000,223.812.796,34118796.0,189694000.0,223812796.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,557.818.230.168,148.345.324.976,706.163.555.144,557818230168.0,148345324976.0,706163555144.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,63.241.473.020,63.241.473.020,,63241473020.0,63241473020.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,17.340.265.038,17.340.265.038,,17340265038.0,17340265038.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,80.581.738.058,80.581.738.058,,80581738058.0,80581738058.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,557.784.111.372,84.914.157.956,642.698.269.328,557784111372.0,84914157956.0,642698269328.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,557.818.230.168,67.763.586.918,625.581.817.086,557818230168.0,67763586918.0,625581817086.0
