row_label_raw,row_label_full,col_0,1/1/2023(Theo báo cáo trước đây)VND,(Số phân loại lại)VND,1/1/2023(Phân loại lại)VND,numeric__1/1/2023(Theo báo cáo trước đây)VND,numeric__(Số phân loại lại)VND,numeric__1/1/2023(Phân loại lại)VND
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,836.225.571.023,(302.041.121.605),534.184.449.418,836225571023.0,-302041121605.0,534184449418.0
Chỉ phí phải trả,Chỉ phí phải trả,Chỉ phí phải trả,77.567.311.611,302.041.121.605,379.608.433.216,77567311611.0,302041121605.0,379608433216.0
