row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,155.749.390.623,74.666.919.388,41.054.060.788,97.115.478.693,368.585.849.492,155749390623.0,74666919388.0,41054060788.0,97115478693.0,368585849492.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.364.386.870,10.610.215.767,8.911.787.000,9.996.450.004,30.882.839.641,1364386870.0,10610215767.0,8911787000.0,9996450004.0,30882839641.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(1.102.477.754),(2.371.579.190),(1.961.621.646),(5.435.678.590),,-1102477754.0,-2371579190.0,-1961621646.0,-5435678590.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,157.113.777.493,84.174.657.401,47.594.268.598,105.150.307.051,394.033.010.543,157113777493.0,84174657401.0,47594268598.0,105150307051.0,394033010543.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,67.924.821.285,43.976.931.735,23.578.445.761,70.170.368.103,205.650.566.884,67924821285.0,43976931735.0,23578445761.0,70170368103.0,205650566884.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,8.454.200.942,11.101.545.631,4.799.155.262,10.000.586.864,34.355.488.699,8454200942.0,11101545631.0,4799155262.0,10000586864.0,34355488699.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(724.230.446),(2.371.579.190),(1.442.014.482),(4.537.824.118),,-724230446.0,-2371579190.0,-1442014482.0,-4537824118.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,76.379.022.227,54.354.246.920,26.006.021.833,78.728.940.485,235.468.231.465,76379022227.0,54354246920.0,26006021833.0,78728940485.0,235468231465.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,87.824.569.338,30.689.987.653,17.475.615.027,26.945.110.590,162.935.282.608,87824569338.0,30689987653.0,17475615027.0,26945110590.0,162935282608.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,80.734.755.266,29.820.410.481,21.588.246.765,26.421.366.566,158.564.779.078,80734755266.0,29820410481.0,21588246765.0,26421366566.0,158564779078.0
