row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị VND,Số đầu năm > Nhận vay VND,Trong năm > Phân loại lại vay dài hạn đến hạn trả VND,Trong năm > Thanh toán VND,Số cuối năm > Giá trị VND,numeric__Số đầu năm > Giá trị VND,numeric__Số đầu năm > Nhận vay VND,numeric__Trong năm > Phân loại lại vay dài hạn đến hạn trả VND,numeric__Trong năm > Thanh toán VND,numeric__Số cuối năm > Giá trị VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,-,256.021.785.000,-,(215.881.764.000),40.140.021.000,,256021785000.0,,-215881764000.0,40140021000.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,533.763.676.811,-,640.813.211.443,(561.847.413.814),612.729.474.440,533763676811.0,,640813211443.0,-561847413814.0,612729474440.0
,,,533.763.676.811,256.021.785.000,640.813.211.443,(777.729.177.814),652.869.495.440,533763676811.0,256021785000.0,640813211443.0,-777729177814.0,652869495440.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,1.709.037.594.029,1.823.108.105.019,(640.813.211.443),(356.935.172.520),2.534.397.315.085,1709037594029.0,1823108105019.0,-640813211443.0,-356935172520.0,2534397315085.0
