row_label_raw,row_label_full,col_0,Giá trị ghi số > Số cuối nămVND,Giá trị ghi số > Số đầu nămVND,numeric__Giá trị ghi số > Số cuối nămVND,numeric__Giá trị ghi số > Số đầu nămVND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,603.608.965.016,293.230.349.674,603608965016.0,293230349674.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,574.626.877.226,658.432.967.999,574626877226.0,658432967999.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,1.389.891.780.955,1.383.775.957.498,1389891780955.0,1383775957498.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,2.568.127.623.197,2.335.439.275.171,2568127623197.0,2335439275171.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,3.187.266.810.525,2.242.801.270.840,3187266810525.0,2242801270840.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,568.302.196.922,694.399.638.446,568302196922.0,694399638446.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,31.031.629.195,47.660.943.473,31031629195.0,47660943473.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,3.786.600.636.642,2.984.861.852.759,3786600636642.0,2984861852759.0
