row_label_raw,row_label_full,col_0,Năm nay > Số năm,Năm trước > Số năm,numeric__Năm nay > Số năm,numeric__Năm trước > Số năm
Phương tiện vận tái,Phương tiện vận tái,Phương tiện vận tái,7 - 20,6 - 20,,
"Máy móc, thiết bị","Phương tiện vận tái > Máy móc, thiết bị","Máy móc, thiết bị",3,3,3.0,3.0
Thiết bị văn phòng,Phương tiện vận tái > Thiết bị văn phòng,Thiết bị văn phòng,3,3,3.0,3.0
