row_label_raw,row_label_full,col_0,Chỉ TIÊU,Thuyết > Mã số,Thuyết > minh,Thuyết > Năm nay,Thuyết > Năm trước,numeric__Chỉ TIÊU,numeric__Thuyết > Mã số,numeric__Thuyết > minh,numeric__Thuyết > Năm nay,numeric__Thuyết > Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,,3.865.757.013.743,3.442.766.581.698,,1.0,,3865757013743.0,3442766581698.0
2.,2.,2.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),10,24,3.865.757.013.743,3.442.766.581.698,,10.0,24.0,3865757013743.0,3442766581698.0
3.,3.,3.,Giá vốn hàng bán và cung cấp dịch vụ,11,25,2.950.283.754.244,2.624.610.715.886,,11.0,25.0,2950283754244.0,2624610715886.0
4.,4.,4.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,915.473.259.499,818.155.865.812,,20.0,,915473259499.0,818155865812.0
5.,5.,5.,Doanh thu hoạt động tài chính,21,27,325.491.723.355,191.501.248.390,,21.0,27.0,325491723355.0,191501248390.0
6.,6.,6.,Chi phí tài chính,22,28,163.053.391.790,154.265.856.092,,22.0,28.0,163053391790.0,154265856092.0
,,,- Trong đó: Chi phí lãi vay,23,,138.911.555.871,126.277.218.776,,23.0,,138911555871.0,126277218776.0
7.,7.,7.,Chi phí quản lý doanh nghiệp,26,29,155.193.160.594,126.713.459.226,,26.0,29.0,155193160594.0,126713459226.0
8.,8.,8.,Lợi nhuận thuần tử hoạt động kinh doanh (30=20+(21-22)-26),30,,922.718.430.470,728.677.798.884,,30.0,,922718430470.0,728677798884.0
9.,9.,9.,Thu nhập khác,31,,17.762.431.945,31.905.036.902,,31.0,,17762431945.0,31905036902.0
10.,10.,10.,Chi phí khác,32,,20.688.388.992,383.350.642,,32.0,,20688388992.0,383350642.0
11.,11.,11.,(Lỗ)/Lợi nhuận khác (40=31-32),40,,(2.925.957.047),31.521.686.260,,40.0,,-2925957047.0,31521686260.0
12.,12.,12.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,919.792.473.423,760.199.485.144,,50.0,,919792473423.0,760199485144.0
13.,13.,13.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,30,142.565.528.965,125.336.097.704,,51.0,30.0,142565528965.0,125336097704.0
14.,14.,14.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,14,1.577.123.941,8.689.222.761,,52.0,14.0,1577123941.0,8689222761.0
15.,15.,15.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,775.649.820.517,626.174.164.679,,60.0,,775649820517.0,626174164679.0
