row_label_raw,row_label_full,Ông Cao Trọng Tuân > Bà Trường Thị Anh Đào,Trường ban (bố nhiệm ngày 12 tháng 6 năm 2025) > Trường ban (miễn nhiệm ngày 12 tháng 6 năm 2025),numeric__Trường ban (bố nhiệm ngày 12 tháng 6 năm 2025) > Trường ban (miễn nhiệm ngày 12 tháng 6 năm 2025)
Bà Nguyễn Thị Nhung,Bà Nguyễn Thị Nhung,Bà Nguyễn Thị Nhung,Thành viên,
Bà Ngô Thị Thu Linh,Bà Ngô Thị Thu Linh,Bà Ngô Thị Thu Linh,Thành viên,
