row_label_raw,row_label_full,col_0,Số cuối năm và Số đầu năm,Số cuối năm và Số đầu năm_1,numeric__Số cuối năm và Số đầu năm,numeric__Số cuối năm và Số đầu năm_1
,,,Giá gốcVND,Dự phòngVND,,
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,,
- Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,Đầu tư vào công ty con > - Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,- Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,612.000.000.000,-,612000000000.0,
- Công ty Cổ phần Vận tải Xăng dầu Phương Nam,Đầu tư vào công ty con > - Công ty Cổ phần Vận tải Xăng dầu Phương Nam,- Công ty Cổ phần Vận tải Xăng dầu Phương Nam,405.632.000.000,-,405632000000.0,
- Công ty Cổ phần Vận tải Nhật Việt,Đầu tư vào công ty con > - Công ty Cổ phần Vận tải Nhật Việt,- Công ty Cổ phần Vận tải Nhật Việt,391.486.200.000,-,391486200000.0,
- Công ty Cổ phần Vận tải Sản phẩm khí Quốc tế,Đầu tư vào công ty con > - Công ty Cổ phần Vận tải Sản phẩm khí Quốc tế,- Công ty Cổ phần Vận tải Sản phẩm khí Quốc tế,338.681.670.000,-,338681670000.0,
- Công ty Cổ phần Vận tải và Tiếp vận Phương Đông Việt,Đầu tư vào công ty con > - Công ty Cổ phần Vận tải và Tiếp vận Phương Đông Việt,- Công ty Cổ phần Vận tải và Tiếp vận Phương Đông Việt,336.349.000.000,-,336349000000.0,
- Công ty Cổ phần Hàng hải Thăng Long,Đầu tư vào công ty con > - Công ty Cổ phần Hàng hải Thăng Long,- Công ty Cổ phần Hàng hải Thăng Long,230.880.000.000,-,230880000000.0,
- Công ty Cổ phần Vận tải Dầu khí Hà Nội,Đầu tư vào công ty con > - Công ty Cổ phần Vận tải Dầu khí Hà Nội,- Công ty Cổ phần Vận tải Dầu khí Hà Nội,107.800.000.000,-,107800000000.0,
- Công ty Cổ phần Vận tải Dầu khí Đông Dương,Đầu tư vào công ty con > - Công ty Cổ phần Vận tải Dầu khí Đông Dương,- Công ty Cổ phần Vận tải Dầu khí Đông Dương,84.683.242.414,-,84683242414.0,
- Công ty Cổ phần Vận tải Dầu khí Quảng Ngãi,Đầu tư vào công ty con > - Công ty Cổ phần Vận tải Dầu khí Quảng Ngãi,- Công ty Cổ phần Vận tải Dầu khí Quảng Ngãi,7.600.000.000,-,7600000000.0,
,,,2.515.112.112.414,-,2515112112414.0,
Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,,
- Công ty Cổ phần Dịch vụ Khai thác Dầu khí PTSC,Đầu tư vào các công ty liên kết > - Công ty Cổ phần Dịch vụ Khai thác Dầu khí PTSC,- Công ty Cổ phần Dịch vụ Khai thác Dầu khí PTSC,97.000.000.000,-,97000000000.0,
,,,97.000.000.000,-,97000000000.0,
Đầu tư vào các đơn vị khác,Đầu tư vào các đơn vị khác,Đầu tư vào các đơn vị khác,Đầu tư vào các đơn vị khác,Đầu tư vào các đơn vị khác,,
- PV KEEZ Pte. Ltd.,Đầu tư vào các đơn vị khác > - PV KEEZ Pte. Ltd.,- PV KEEZ Pte. Ltd.,45.937.767.300,-,45937767300.0,
,,,45.937.767.300,-,45937767300.0,
