row_label_raw,row_label_full,Chỉ tiêu,Dịch vụ vận tải,Dịch vụ kho nổi,Thương mại,Dịch vụ khác,Tổng,numeric__Dịch vụ vận tải,numeric__Dịch vụ kho nổi,numeric__Thương mại,numeric__Dịch vụ khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,,,,,
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,8.124.300.980.449,91.959.234.621,60.998.500,39.174.706.115,8.255.495.919.685,8124300980449.0,91959234621.0,60998500.0,39174706115.0,8255495919685.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,2.918.182.624.666,,,,,2918182624666.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,11.173.678.544.351,,,,,11173678544351.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,4.208.932.894.407,93.180.660.848,-,85.097.572.536,4.387.211.127.791,4208932894407.0,93180660848.0,,85097572536.0,4387211127791.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,53.726.659.202,,,,,53726659202.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,4.440.937.786.993,,,,,4440937786993.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Dịch vụ vận tải,Dịch vụ kho nổi,Thương mại,Dịch vụ khác,Tổng,,,,,
,,,VND,VND,VND,VND,VND,,,,,
Tài sản bộ phận,Chỉ tiêu > Tài sản bộ phận,Tài sản bộ phận,6.549.904.590.514,194.465.743.525,12.494.893.792,99.626.721.569,6.856.491.949.400,6549904590514.0,194465743525.0,12494893792.0,99626721569.0,6856491949400.0
Tài sản không phân bổ,Chỉ tiêu > Tài sản không phân bổ,Tài sản không phân bổ,,,,,2.659.846.556.480,,,,,2659846556480.0
Tổng tài sản,Chỉ tiêu > Tổng tài sản,Tổng tài sản,,,,,9.516.338.505.880,,,,,9516338505880.0
Nợ phải trả bộ phận,Chỉ tiêu > Nợ phải trả bộ phận,Nợ phải trả bộ phận,3.228.076.114.912,64.265.799.329,13.852.722.632,51.558.238.829,3.357.752.875.702,3228076114912.0,64265799329.0,13852722632.0,51558238829.0,3357752875702.0
Nợ phải trả không phân bổ,Chỉ tiêu > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,163.924.243.456,,,,,163924243456.0
Tổng nợ phải trả,Chỉ tiêu > Tổng nợ phải trả,Tổng nợ phải trả,,,,,3.521.677.119.158,,,,,3521677119158.0
