row_label_raw,row_label_full,col_0,Chi phí sửa chữa lớntài sản cố địnhVND,numeric__Chi phí sửa chữa lớntài sản cố địnhVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,132.019.214.367,132019214367.0
Trích lập dự phòng,Trích lập dự phòng,Trích lập dự phòng,140.686.018.529,140686018529.0
Hoàn nhập dự phòng,Hoàn nhập dự phòng,Hoàn nhập dự phòng,(16.803.792.022),-16803792022.0
Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,(33.552.678.064),-33552678064.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,222.348.762.810,222348762810.0
