row_label_raw,row_label_full,col_0,"Quyền sử dụng đất, nhà cửa, vật kiến trúc","Máy móc, thiết bị",Tổng,"numeric__Quyền sử dụng đất, nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,5.101.061,1.431.213,6.532.274,5101061.0,1431213.0,6532274.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,209,209,,209.0,209.0
Góp vốn vào công ty con,NGUYÊN GIÁ > Góp vốn vào công ty con,Góp vốn vào công ty con,(1.654.180),(211.299),(1.865.479),-1654180.0,-211299.0,-1865479.0
Thanh lý,NGUYÊN GIÁ > Thanh lý,Thanh lý,-,(403),(403),,-403.0,-403.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,3.446.881,1.219.720,4.666.601,3446881.0,1219720.0,4666601.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,906.175,687.652,1.593.827,906175.0,687652.0,1593827.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,104.938,105.840,210.778,104938.0,105840.0,210778.0
Góp vốn vào công ty con,GIÁ TRỊ HAO MÒN LỦY KẾ > Góp vốn vào công ty con,Góp vốn vào công ty con,(396.400),(136.011),(532.411),-396400.0,-136011.0,-532411.0
Thanh lý,GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý,Thanh lý,-,(83),(83),,-83.0,-83.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,614.713,657.398,1.272.111,614713.0,657398.0,1272111.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,4.194.886,743.561,4.938.447,4194886.0,743561.0,4938447.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,2.832.168,562.322,3.394.490,2832168.0,562322.0,3394490.0
