row_label_raw,row_label_full,col_0,CHÍ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHÍ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,28,2.059.343,2.203.296,,1.0,28.0,2059343.0,2203296.0
2.,2.,2.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),10,,2.059.343,2.203.296,,10.0,,2059343.0,2203296.0
3.,3.,3.,Giá vốn hàng bán và dịch vụ cung cấp,11,29,1.265.690,1.401.893,,11.0,29.0,1265690.0,1401893.0
4.,4.,4.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,793.653,801.403,,20.0,,793653.0,801403.0
5.,5.,5.,Doanh thu hoạt động tài chính,21,31,6.635.495,1.113.581,,21.0,31.0,6635495.0,1113581.0
6.,6.,6.,Chi phí tài chính,22,32,1.271.009,866.611,,22.0,32.0,1271009.0,866611.0
,,,- Trong đó: Chi phí lãi vay,23,,875.274,451.751,,23.0,,875274.0,451751.0
7.,7.,7.,Chi phí bán hàng,25,33,50.303,117.640,,25.0,33.0,50303.0,117640.0
8.,8.,8.,Chi phí quản lý doanh nghiệp,26,33,123.359,128.481,,26.0,33.0,123359.0,128481.0
9.,9.,9.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,5.984.477,802.252,,30.0,,5984477.0,802252.0
10.,10.,10.,Thu nhập khác,31,34,1.982.085,82.293,,31.0,34.0,1982085.0,82293.0
11.,11.,11.,Chi phí khác,32,35,102.061,8.151,,32.0,35.0,102061.0,8151.0
12.,12.,12.,Lợi nhuận khác (40=31-32),40,,1.880.024,74.142,,40.0,,1880024.0,74142.0
13.,13.,13.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,7.864.501,876.394,,50.0,,7864501.0,876394.0
14.,14.,14.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,36,677.568,188.879,,51.0,36.0,677568.0,188879.0
15.,15.,15.,Chi phí/(Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,52,16,1.588,(11.453),,52.0,16.0,1588.0,-11453.0
16.,16.,16.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,7.185.345,698.968,,60.0,,7185345.0,698968.0
