row_label_raw,row_label_full,col_0,TÀI SẢN,Thuyết,Thuyết_1,Thuyết_2,Thuyết_3,numeric__TÀI SẢN,numeric__Thuyết,numeric__Thuyết_1,numeric__Thuyết_2,numeric__Thuyết_3
,,,TÀI SẢN,Mã số,minh,Số cuối năm,Số đầu năm,,,,,
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,42.088.321,31.355.984,,200.0,,42088321.0,31355984.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,561,561,,210.0,,561.0,561.0
1.,1.,1.,Phải thu dài hạn khác,216,9,561,561,,216.0,9.0,561.0,561.0
II.,II.,II.,Tài sản cố định,220,,7.847,17.108,,220.0,,7847.0,17108.0
1.,1.,1.,Tài sản cố định hữu hình,221,11,2.512,4.510,,221.0,11.0,2512.0,4510.0
,,,- Nguyên giá,222,,20.555,23.278,,222.0,,20555.0,23278.0
,,,- Giá trị hao mòn lũy kế,223,,(18.043),(18.768),,223.0,,-18043.0,-18768.0
2.,2.,2.,Tài sản cố định vô hình,227,12,5.335,12.598,,227.0,12.0,5335.0,12598.0
,,,- Nguyên giá,228,,74.710,74.898,,228.0,,74710.0,74898.0
,,,- Giá trị hao mòn lũy kế,229,,(69.375),(62.300),,229.0,,-69375.0,-62300.0
III.,III.,III.,Bất động sản đầu tư,230,13,3.394.490,4.938.447,,230.0,13.0,3394490.0,4938447.0
,,,- Nguyên giá,231,,4.666.601,6.532.274,,231.0,,4666601.0,6532274.0
,,,- Giá trị hao mòn lũy kế,232,,(1.272.111),(1.593.827),,232.0,,-1272111.0,-1593827.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,,29.961,23.965,,240.0,,29961.0,23965.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,,29.961,23.965,,242.0,,29961.0,23965.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,6,17.253.734,16.337.506,,250.0,6.0,17253734.0,16337506.0
1.,1.,1.,Đầu tư vào công ty con,251,,14.094.162,13.976.356,,251.0,,14094162.0,13976356.0
2.,2.,2.,Đầu tư góp vốn vào các thỏa thuận hợp tác đầu tư và kinh doanh,253,,3.159.572,2.361.150,,253.0,,3159572.0,2361150.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,21.401.728,10.038.397,,260.0,,21401728.0,10038397.0
1.,1.,1.,Chi phí trả trước dài hạn,261,14,95.032,104.531,,261.0,14.0,95032.0,104531.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,16,20.767,22.355,,262.0,16.0,20767.0,22355.0
3.,3.,3.,Tài sản dài hạn khác,268,15,21.285.929,9.911.511,,268.0,15.0,21285929.0,9911511.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,44.146.747,37.456.960,,270.0,,44146747.0,37456960.0
