row_label_raw,row_label_full,col_0,Năm nay,Năm nay_1,Năm nay_2,Năm trước,Năm trước_1,Năm trước_2,numeric__Năm nay,numeric__Năm nay_1,numeric__Năm nay_2,numeric__Năm trước,numeric__Năm trước_1,numeric__Năm trước_2
,,,Hoạt động bất động sản,Hoạt động SXKD,Triệu VND Tổng,Hoạt động bất động sản,Hoạt động SXKD,Triệu VND Tổng,,,,,,
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,-,7.864.501,7.864.501,(419),876.813,876.394,,7864501.0,7864501.0,-419.0,876813.0,876394.0
Điều chỉnh cho thu nhập tính thuế,Điều chỉnh cho thu nhập tính thuế,Điều chỉnh cho thu nhập tính thuế,,,,,,,,,,,,
Trừ:,Điều chỉnh cho thu nhập tính thuế > Trừ:,Trừ:,-,(4.587.220),(4.587.220),-,(49.826),(49.826),,-4587220.0,-4587220.0,,-49826.0,-49826.0
Thu nhập không chịu thuế,Điều chỉnh cho thu nhập tính thuế > Thu nhập không chịu thuế,Thu nhập không chịu thuế,-,(4.480.000),(4.480.000),-,-,-,,-4480000.0,-4480000.0,,,
Ảnh hưởng của các khoản chênh lệch tạm thời,Điều chỉnh cho thu nhập tính thuế > Ảnh hưởng của các khoản chênh lệch tạm thời,Ảnh hưởng của các khoản chênh lệch tạm thời,-,(107.220),(107.220),-,(49.826),(49.826),,-107220.0,-107220.0,,-49826.0,-49826.0
Cộng:,Điều chỉnh cho thu nhập tính thuế > Cộng:,Cộng:,-,116.292,116.292,-,117.960,117.960,,116292.0,116292.0,,117960.0,117960.0
Chi phí không được trừ khác,Điều chỉnh cho thu nhập tính thuế > Chi phí không được trừ khác,Chi phí không được trừ khác,-,11.020,11.020,-,10.740,10.740,,11020.0,11020.0,,10740.0,10740.0
Ảnh hưởng của các khoản chênh lệch tạm thời,Điều chỉnh cho thu nhập tính thuế > Ảnh hưởng của các khoản chênh lệch tạm thời,Ảnh hưởng của các khoản chênh lệch tạm thời,-,105.272,105.272,-,107.220,107.220,,105272.0,105272.0,,107220.0,107220.0
Thu nhập chịu thuế năm hiện hành,Điều chỉnh cho thu nhập tính thuế > Thu nhập chịu thuế năm hiện hành,Thu nhập chịu thuế năm hiện hành,-,3.393.573,3.393.573,-,944.947,944.947,,3393573.0,3393573.0,,944947.0,944947.0
Chuyển lỗ từ hoạt động bất động sản,Điều chỉnh cho thu nhập tính thuế > Chuyển lỗ từ hoạt động bất động sản,Chuyển lỗ từ hoạt động bất động sản,-,-,-,-,(419),(419),,,,,-419.0,-419.0
Thu nhập tính thuế,Điều chỉnh cho thu nhập tính thuế > Thu nhập tính thuế,Thu nhập tính thuế,-,3.393.573,3.393.573,-,944.528,944.528,,3393573.0,3393573.0,,944528.0,944528.0
Thuế suất,Điều chỉnh cho thu nhập tính thuế > Thuế suất,Thuế suất,-,20%,20%,-,20%,20%,,0.2,0.2,,0.2,0.2
Chi phí thuế thu nhập doanh nghiệp năm hiện hành,Điều chỉnh cho thu nhập tính thuế > Chi phí thuế thu nhập doanh nghiệp năm hiện hành,Chi phí thuế thu nhập doanh nghiệp năm hiện hành,-,678.715,678.715,-,188.906,188.906,,678715.0,678715.0,,188906.0,188906.0
