row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,495.603.354.065,21.260.587.770,30.550.493.880,51.237.224.881,99.000.000,598.750.660.596,495603354065.0,21260587770.0,30550493880.0,51237224881.0,99000000.0,598750660596.0
Chuyển từ chi phí xây dựng cơbản dở dang (Thuyết minh 14),Nguyên giá > Chuyển từ chi phí xây dựng cơbản dở dang (Thuyết minh 14),Chuyển từ chi phí xây dựng cơbản dở dang (Thuyết minh 14),21.486.995.160,-,-,-,-,21.486.995.160,21486995160.0,,,,,21486995160.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,-,1.402.193.200,-,1.402.193.200,,,,1402193200.0,,1402193200.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(7.245.611.171),-,-,(7.245.611.171),,,-7245611171.0,,,-7245611171.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(2.427.696.100),-,(492.180.312),-,(2.919.876.412),,-2427696100.0,,-492180312.0,,-2919876412.0
Tại ngày 31 tháng 12 năm 2022,Nguyên giá > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,517.090.349.225,18.832.891.670,23.304.882.709,52.147.237.769,99.000.000,611.474.361.373,517090349225.0,18832891670.0,23304882709.0,52147237769.0,99000000.0,611474361373.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2022,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,(47.043.898.830),(8.713.421.802),(26.062.747.660),(37.012.954.918),(99.000.000),(118.932.023.210),-47043898830.0,-8713421802.0,-26062747660.0,-37012954918.0,-99000000.0,-118932023210.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(10.703.551.114),(1.790.735.875),(1.405.568.752),(9.200.064.810),-,(23.099.920.551),-10703551114.0,-1790735875.0,-1405568752.0,-9200064810.0,,-23099920551.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,7.245.611.171,-,-,7.245.611.171,,,7245611171.0,,,7245611171.0
Xóa số,Khấu hao lũy kế > Xóa số,Xóa số,-,2.080.062.074,-,461.327.534,-,2.541.389.608,,2080062074.0,,461327534.0,,2541389608.0
Tại ngày 31 tháng 12 năm 2022,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,(57.747.449.944),(8.424.095.603),(20.222.705.241),(45.751.692.194),(99.000.000),(132.244.942.982),-57747449944.0,-8424095603.0,-20222705241.0,-45751692194.0,-99000000.0,-132244942982.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,448.559.455.235,12.547.165.968,4.487.746.220,14.224.269.963,-,479.818.637.386,448559455235.0,12547165968.0,4487746220.0,14224269963.0,,479818637386.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,459.342.899.281,10.408.796.067,3.082.177.468,6.395.545.575,-,479.229.418.391,459342899281.0,10408796067.0,3082177468.0,6395545575.0,,479229418391.0
