row_label_raw,row_label_full,Họ và tên,Chức danh,Tiền lương,Thù lao,numeric__Chức danh,numeric__Tiền lương,numeric__Thù lao
Bùi Thành Nhơn,Bùi Thành Nhơn,Bùi Thành Nhơn,Chủ tịch HĐQT,-,1.200.000.000,,,1200000000.0
Bùi Xuân Huy,Bùi Xuân Huy,Bùi Xuân Huy,Chủ tịch HĐQT,-,120.000.000,,,120000000.0
Hoàng Thu Châu,Hoàng Thu Châu,Hoàng Thu Châu,Thành viên HĐQT,-,120.000.000,,,120000000.0
Phạm Tiến Vân,Phạm Tiến Vân,Phạm Tiến Vân,Thành viên HĐQT,-,600.000.000,,,600000000.0
Lê Quốc Hùng,Lê Quốc Hùng,Lê Quốc Hùng,Thành viên HĐQT,-,600.000.000,,,600000000.0
Nguyễn Mỹ Hạnh,Nguyễn Mỹ Hạnh,Nguyễn Mỹ Hạnh,Thành viên HĐQT,-,600.000.000,,,600000000.0
Bùi Xuân Huy,Bùi Xuân Huy,Bùi Xuân Huy,Tổng Giám đốc,5.400.000.000,-,,5400000000.0,
Hoàng Thu Châu,Hoàng Thu Châu,Hoàng Thu Châu,Phó Tổng giám đốc,3.600.000.000,-,,3600000000.0,
Nguyễn Ngọc Huyên,Nguyễn Ngọc Huyên,Nguyễn Ngọc Huyên,Tổng Giám đốc,824.727.273,-,,824727273.0,
Huỳnh Minh Lâm,Huỳnh Minh Lâm,Huỳnh Minh Lâm,Kế toán trường Quyền Giám,857.363.638,-,,857363638.0,
Nguyễn Thị Xuân Dung,Nguyễn Thị Xuân Dung,Nguyễn Thị Xuân Dung,đốc Tài chính,888.636.364,-,,888636364.0,
Nguyễn Đức Dũng,Nguyễn Đức Dũng,Nguyễn Đức Dũng,Giám đốc Tài chính,123.636.364,-,,123636364.0,
