row_label_raw,row_label_full,Mãsố,TÀI SẢN (tiếp theo),Thuyếtminh,Tại ngày 31 tháng 12 năm,Tại ngày 31 tháng 12 năm_1,numeric__TÀI SẢN (tiếp theo),numeric__Thuyếtminh,numeric__Tại ngày 31 tháng 12 năm,numeric__Tại ngày 31 tháng 12 năm_1
Mãsố,Mãsố,Mãsố,TÀI SẢN (tiếp theo),Thuyếtminh,2022VND,2021VND,,,,
200,Mãsố > 200,200,TÀI SẢN DÀI HẠN,,86.471.592.448.027,73.448.659.300.917,,,86471592448027.0,73448659300917.0
210,Mãsố > 210,210,Các khoản phải thu dài hạn,,9.448.005.657.784,8.724.055.657.784,,,9448005657784.0,8724055657784.0
216,Mãsố > 216,216,Phải thu dài hạn khác,7(b),9.448.005.657.784,8.724.055.657.784,,,9448005657784.0,8724055657784.0
220,Mãsố > 220,220,Tài sản cố định,,562.282.359.107,576.481.411.042,,,562282359107.0,576481411042.0
221,Mãsố > 221,221,Tài sản cố định hữu hình,11(a),479.229.418.391,479.818.637.386,,,479229418391.0,479818637386.0
222,Mãsố > 222,222,Nguyên giá,,611.474.361.373,598.750.660.596,,,611474361373.0,598750660596.0
223,Mãsố > 223,223,Giá trị khấu hao lũy kế,,(132.244.942.982),(118.932.023.210),,,-132244942982.0,-118932023210.0
227,Mãsố > 227,227,Tài sản cố định vô hình,11(b),83.052.940.716,96.662.773.656,,,83052940716.0,96662773656.0
228,Mãsố > 228,228,Nguyên giá,,165.943.923.622,160.663.358.622,,,165943923622.0,160663358622.0
229,Mãsố > 229,229,Giá trị khấu hao lũy kế,,(82.890.982.906),(64.000.584.966),,,-82890982906.0,-64000584966.0
230,Mãsố > 230,230,Bất động sản đầu tư,12,340.284.658.536,346.377.466.717,,12.0,340284658536.0,346377466717.0
231,Mãsố > 231,231,Nguyên giá,,387.467.333.888,387.467.333.888,,,387467333888.0,387467333888.0
232,Mãsố > 232,232,Giá trị khấu hao lũy kế,,(47.182.675.352),(41.089.867.171),,,-47182675352.0,-41089867171.0
240,Mãsố > 240,240,Tài sản dở dang dài hạn,,198.657.647.668,207.155.559.090,,,198657647668.0,207155559090.0
241,Mãsố > 241,241,"Chi phí sản xuất, kinh doanh dở dangdài hạn",13,181.998.060.395,181.998.060.395,,13.0,181998060395.0,181998060395.0
242,Mãsố > 242,242,Chi phí xây dựng cơ bản dở dang,14,16.659.587.273,25.157.498.695,,14.0,16659587273.0,25157498695.0
250,Mãsố > 250,250,Đầu tư tài chính dài hạn,,75.917.831.642.977,63.572.417.553.525,,,75917831642977.0,63572417553525.0
251,Mãsố > 251,251,Đầu tư vào công ty con,4(b),75.817.539.582.977,63.466.970.082.977,,,75817539582977.0,63466970082977.0
252,Mãsố > 252,252,Đầu tư vào công ty liên kết,4(b),75.392.060.000,75.392.060.000,,,75392060000.0,75392060000.0
253,Mãsố > 253,253,Đầu tư góp vốn vào đơn vị khác,4(b),24.900.000.000,15.900.000.000,,,24900000000.0,15900000000.0
255,Mãsố > 255,255,Đầu tư nấm giữ đến ngày đáo hạn,4(a),-,14.155.410.548,,,,14155410548.0
260,Mãsố > 260,260,Tài sản dài hạn khác,,4.530.481.955,22.171.652.759,,,4530481955.0,22171652759.0
261,Mãsố > 261,261,Chi phí trả trước dài hạn,10(b),3.554.608.383,21.195.779.187,,,3554608383.0,21195779187.0
262,Mãsố > 262,262,Tài sản thuế thu nhập hoãn lại,23,975.873.572,975.873.572,,23.0,975873572.0,975873572.0
270,Mãsố > 270,270,TỔNG TÀI SẢN,,94.239.023.122.518,79.675.879.867.429,,,94239023122518.0,79675879867429.0
