row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu_1,Vốn góp của chủ sở hữu_2,Vốn góp của chủ sở hữu_3,Vốn góp của chủ sở hữu_4,numeric__Vốn góp của chủ sở hữu,numeric__Vốn góp của chủ sở hữu_1,numeric__Vốn góp của chủ sở hữu_2,numeric__Vốn góp của chủ sở hữu_3,numeric__Vốn góp của chủ sở hữu_4
,,,Cổ phiếu phổ thông VND,Cổ phần ưu đãi VND,Thặng dư vốn cổ phần VND,LNST chưa phân phối VND,Tổng cộng VND,,,,,
Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,9.862.852.970.000,-,3.970.259.281.026,6.411.473.188.626,20.244.585.439.652,9862852970000.0,,3970259281026.0,6411473188626.0,20244585439652.0
Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,775.693.580.000,-,3.816.412.413.600,-,4.592.105.993.600,775693580000.0,,3816412413600.0,,4592105993600.0
Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi,Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi,Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi,178.843.960.000,-,894.219.800.000,-,1.073.063.760.000,178843960000.0,,894219800000.0,,1073063760000.0
Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi,Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi,Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi,59.520.340.000,-,202.369.160.000,-,261.889.500.000,59520340000.0,,202369160000.0,,261889500000.0
Phát hành cổ phiếu để trả cổ tức,Phát hành cổ phiếu để trả cổ tức,Phát hành cổ phiếu để trả cổ tức,4.568.157.000.000,-,-,(4.568.157.000.000),-,4568157000000.0,,,-4568157000000.0,
Phát hành cổ phiếu phổ thông bằng thẳng dư vốn cổ phần,Phát hành cổ phiếu phổ thông bằng thẳng dư vốn cổ phần,Phát hành cổ phiếu phổ thông bằng thẳng dư vốn cổ phần,3.859.145.340.000,-,(3.859.145.340.000),-,-,3859145340000.0,,-3859145340000.0,,
Chi phí liên quan đến việc phát hành cổ phiếu,Chi phí liên quan đến việc phát hành cổ phiếu,Chi phí liên quan đến việc phát hành cổ phiếu,-,-,(890.000.000),-,(890.000.000),,,-890000000.0,,-890000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,727.834.870.632,727.834.870.632,,,,727834870632.0,727834870632.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,19.304.213.190.000,-,5.023.225.314.626,2.571.151.059.258,26.898.589.563.884,19304213190000.0,,5023225314626.0,2571151059258.0,26898589563884.0
Phát hành cổ phiếu phổ thông theo chương trình ESOP cho nhân viên (i),Phát hành cổ phiếu phổ thông theo chương trình ESOP cho nhân viên (i),Phát hành cổ phiếu phổ thông theo chương trình ESOP cho nhân viên (i),193.042.000.000,-,(50.000.000),-,192.992.000.000,193042000000.0,,-50000000.0,,192992000000.0
Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi đợt 1 ngày 23 tháng 5 năm 2022 (ii),Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi đợt 1 ngày 23 tháng 5 năm 2022 (ii),Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi đợt 1 ngày 23 tháng 5 năm 2022 (ii),541.450.000,-,4.060.950.000,-,4.602.400.000,541450000.0,,4060950000.0,,4602400000.0
Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi đợt 2 ngày 30 tháng 6 năm 2022 (iii),Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi đợt 2 ngày 30 tháng 6 năm 2022 (iii),Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi đợt 2 ngày 30 tháng 6 năm 2022 (iii),541.450.000,-,4.060.950.000,-,4.602.400.000,541450000.0,,4060950000.0,,4602400000.0
Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi đợt 3 ngày 22 tháng 11 năm 2022 (iv),Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi đợt 3 ngày 22 tháng 11 năm 2022 (iv),Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi đợt 3 ngày 22 tháng 11 năm 2022 (iv),2.707.290.000,-,20.304.710.000,-,23.012.000.000,2707290000.0,,20304710000.0,,23012000000.0
Lỗ thuần trong năm,Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,(613.586.420.558),(613.586.420.558),,,,-613586420558.0,-613586420558.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,19.501.045.380.000,-,5.051.601.924.626,1.957.564.638.700,26.510.211.943.326,19501045380000.0,,5051601924626.0,1957564638700.0,26510211943326.0
