row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,"Phần mềm, bản quyền VND",Tổng cộng VND,numeric__Quyền sử dụng đất VND,"numeric__Phần mềm, bản quyền VND",numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,57.754.517.947,102.908.840.675,160.663.358.622,57754517947.0,102908840675.0,160663358622.0
Mua trong kỳ,Nguyên giá > Mua trong kỳ,Mua trong kỳ,-,4.833.565.000,4.833.565.000,,4833565000.0,4833565000.0
Chuyển từ chi phí xây dựng cơ bản đồ đang (Thuyết minh 14),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản đồ đang (Thuyết minh 14),Chuyển từ chi phí xây dựng cơ bản đồ đang (Thuyết minh 14),-,447.000.000,447.000.000,,447000000.0,447000000.0
Tại ngày 31 tháng 12 năm 2022,Nguyên giá > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,57.754.517.947,108.189.405.675,165.943.923.622,57754517947.0,108189405675.0,165943923622.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2022,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,-,(64.000.584.966),(64.000.584.966),,-64000584966.0,-64000584966.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(18.890.397.940),(18.890.397.940),,-18890397940.0,-18890397940.0
Tại ngày 31 tháng 12 năm 2022,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,-,(82.890.982.906),(82.890.982.906),,-82890982906.0,-82890982906.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,57.754.517.947,38.908.255.709,96.662.773.656,57754517947.0,38908255709.0,96662773656.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,57.754.517.947,25.298.422.769,83.052.940.716,57754517947.0,25298422769.0,83052940716.0
